ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,19.88,***,***,***,***,***,***,***,***,***,18.32,-1.56,-7.84,***,***,***,1.12,-18.76,-94.37,2.54,-17.34,-87.23,3.51,-16.37,-82.37,***,***,***,***,***,***,0.86,-19.02,-95.69,2.80,-17.08,-85.93,1.58,-18.30,-92.05,0.00,-19.88,-100.00,5.95,-13.93,-70.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,2.46,***,***,***,***,***,***,***,***,***,1.69,-0.76,-31.08,0.44,-2.02,-82.24,0.38,-2.08,-84.47,0.21,-2.24,-91.30,2.12,-0.34,-13.68,4.96,2.50,101.78,***,***,***,3.69,1.23,50.09,6.43,3.98,161.81,3.63,1.17,47.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,4.41,***,***,***,***,***,***,***,***,***,3.44,-0.97,-21.99,1.27,-3.14,-71.24,1.12,-3.29,-74.53,0.74,-3.67,-83.18,3.11,-1.30,-29.45,14.06,9.66,219.00,***,***,***,15.57,11.16,253.23,8.55,4.14,93.83,4.28,-0.13,-2.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,2.28,***,***,***,***,***,***,***,***,***,4.07,1.80,79.04,1.75,-0.53,-23.24,1.93,-0.35,-15.37,1.14,-1.14,-50.11,0.00,-2.28,-100.00,4.37,2.09,91.89,***,***,***,2.48,0.21,9.19,1.41,-0.86,-37.83,1.75,-0.53,-23.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.75,***,***,***,***,***,***,***,***,***,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,***,***,***,***,***,***,***,***,***,0.00,-0.75,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,9.08,***,***,***,***,***,***,***,***,***,7.70,-1.38,-15.19,0.00,-9.08,-100.00,0.00,-9.08,-100.00,0.00,-9.08,-100.00,0.00,-9.08,-100.00,35.00,25.92,285.51,***,***,***,8.10,-0.98,-10.82,6.74,-2.34,-25.72,6.74,-2.34,-25.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,7.03,4.44,-2.60,-36.92,1.44,-5.59,-79.51,***,***,***,4.57,-2.46,-35.01,1.12,-5.91,-84.05,0.50,-6.54,-92.93,0.71,-6.32,-89.88,0.36,-6.68,-94.93,2.02,-5.01,-71.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,0.21,***,***,***,***,***,***,***,***,***,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,***,***,***,***,***,***,0.00,-0.21,-100.00,0.00,-0.21,-100.00,0.00,-0.21,-100.00,3.27,3.06,1458.10,***,***,***,5.94,5.73,2728.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,2.98,0.74,-2.25,-75.28,***,***,***,***,***,***,0.00,-2.98,-100.00,0.00,-2.98,-100.00,0.00,-2.98,-100.00,0.00,-2.98,-100.00,0.00,-2.98,-100.00,6.60,3.61,120.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.00,***,***,***,***,***,***,***,***,***,0.28,0.28,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.63,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.68,4.68,***,***,***,***,2.03,2.03,***,1.09,1.09,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
