ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,9.08,***,***,***,***,***,***,***,***,***,11.62,2.54,28.00,***,***,***,18.45,9.37,103.29,20.28,11.21,123.47,22.40,13.33,146.83,***,***,***,***,***,***,8.66,-0.42,-4.60,20.56,11.49,126.58,25.53,16.45,181.29,20.60,11.52,126.93,13.20,4.12,45.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,9.51,***,***,***,***,***,***,***,***,***,11.57,2.06,21.71,6.72,-2.78,-29.27,6.26,-3.25,-34.16,7.94,-1.56,-16.45,10.69,1.19,12.48,23.35,13.84,145.61,***,***,***,15.78,6.27,65.95,5.69,-3.82,-40.17,14.94,5.43,57.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,7.90,***,***,***,***,***,***,***,***,***,3.77,-4.13,-52.28,2.19,-5.71,-72.24,1.69,-6.21,-78.66,1.69,-6.21,-78.66,72.86,64.97,822.58,57.93,50.03,633.49,***,***,***,1.23,-6.67,-84.46,3.77,-4.12,-52.21,5.61,-2.28,-28.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,7.63,***,***,***,***,***,***,***,***,***,7.94,0.31,4.00,1.57,-6.06,-79.37,1.61,-6.02,-78.94,1.22,-6.41,-83.99,22.33,14.70,192.70,16.80,9.17,120.17,***,***,***,0.00,-7.63,-100.00,0.00,-7.63,-100.00,0.20,-7.43,-97.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,***,***,***,***,***,***,***,***,***,***,0.27,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,0.00,***,***,***,***,***,***,***,***,***,0.35,0.35,***,0.00,0.00,0.00,1.58,1.58,***,2.05,2.05,***,59.28,59.28,***,31.12,31.12,***,***,***,***,1.09,1.09,***,1.05,1.05,***,1.13,1.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,2.56,2.96,0.40,15.64,8.45,5.89,229.91,***,***,***,2.14,-0.42,-16.43,0.86,-1.70,-66.28,1.07,-1.49,-58.20,1.56,-1.01,-39.28,3.22,0.65,25.56,8.02,5.46,213.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,0.00,***,***,***,***,***,***,***,***,***,8.10,8.10,***,5.38,5.38,***,4.72,4.72,***,3.67,3.67,***,5.87,5.87,***,***,***,***,***,***,***,5.52,5.52,***,5.03,5.03,***,5.01,5.01,***,7.56,7.56,***,***,***,***,5.32,5.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,9.51,2.40,-7.12,-74.79,***,***,***,***,***,***,2.06,-7.46,-78.38,3.63,-5.89,-61.89,4.97,-4.55,-47.81,5.59,-3.92,-41.25,5.48,-4.04,-42.44,11.84,2.33,24.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.21,***,***,***,***,***,***,***,***,***,1.05,0.84,401.17,1.27,1.06,508.40,0.99,0.78,373.45,1.15,0.94,451.62,7.41,7.20,3442.03,***,***,***,***,***,***,9.81,9.60,4590.56,9.86,9.65,4616.29,8.62,8.41,4022.27,12.22,12.01,5744.75,***,***,***,18.67,18.46,8828.05,19.40,19.20,9178.61,***,***,***,***,***,***,***,***,***,17.07,16.86,8060.09
