ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,0.79,***,***,***,***,***,***,***,***,***,0.47,-0.31,-39.81,***,***,***,0.16,-0.63,-79.62,0.24,-0.55,-69.43,0.13,-0.66,-83.76,***,***,***,***,***,***,0.18,-0.61,-77.07,0.20,-0.59,-74.84,0.20,-0.59,-74.84,0.25,-0.54,-68.79,0.21,-0.58,-73.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,0.60,***,***,***,***,***,***,***,***,***,0.94,0.34,57.56,0.03,-0.57,-95.80,0.06,-0.54,-90.76,0.04,-0.55,-92.86,0.05,-0.54,-91.18,0.11,-0.49,-81.51,***,***,***,0.19,-0.41,-68.91,0.06,-0.54,-89.92,0.06,-0.53,-89.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,0.87,***,***,***,***,***,***,***,***,***,1.17,0.30,33.91,0.07,-0.80,-91.67,0.11,-0.76,-87.64,0.18,-0.70,-79.89,0.12,-0.76,-86.78,0.25,-0.63,-71.84,***,***,***,0.00,-0.87,-100.00,0.02,-0.86,-98.28,0.02,-0.85,-97.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,1.19,***,***,***,***,***,***,***,***,***,1.19,0.00,0.21,0.06,-1.13,-95.15,0.09,-1.09,-92.19,0.11,-1.08,-91.14,0.35,-0.84,-70.68,0.24,-0.95,-80.17,***,***,***,0.02,-1.16,-98.10,0.08,-1.10,-93.04,0.03,-1.16,-97.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,0.70,***,***,***,***,***,***,***,***,***,0.70,0.01,0.72,0.34,-0.36,-51.80,0.10,-0.60,-86.33,0.12,-0.58,-83.09,0.24,-0.46,-66.19,***,***,***,***,***,***,***,***,***,0.22,-0.48,-68.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,0.44,***,***,***,***,***,***,***,***,***,0.53,0.09,21.14,0.00,-0.44,-100.00,0.01,-0.43,-98.86,0.00,-0.44,-100.00,0.00,-0.44,-100.00,0.05,-0.39,-88.57,***,***,***,0.00,-0.44,-100.00,0.00,-0.44,-100.00,0.01,-0.43,-98.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,0.81,0.70,-0.12,-14.46,0.62,-0.19,-23.69,***,***,***,1.18,0.37,45.23,0.33,-0.49,-60.00,0.26,-0.56,-68.31,0.31,-0.51,-62.15,0.26,-0.55,-68.00,0.56,-0.25,-31.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,0.72,***,***,***,***,***,***,***,***,***,0.61,-0.11,-15.57,0.22,-0.50,-69.20,0.14,-0.58,-80.62,0.28,-0.45,-61.59,0.56,-0.16,-22.15,***,***,***,***,***,***,0.01,-0.71,-98.62,0.10,-0.62,-86.16,0.02,-0.70,-96.89,0.16,-0.56,-77.85,***,***,***,0.13,-0.59,-81.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,0.56,1.59,1.04,186.49,***,***,***,***,***,***,0.95,0.40,71.17,0.09,-0.46,-83.33,0.07,-0.49,-88.29,0.11,-0.45,-81.08,0.10,-0.45,-81.53,0.30,-0.26,-46.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,0.63,***,***,***,***,***,***,***,***,***,0.95,0.32,51.20,0.31,-0.32,-51.20,0.19,-0.44,-70.40,0.16,-0.47,-74.80,0.86,0.24,37.60,***,***,***,***,***,***,0.08,-0.54,-86.80,0.06,-0.57,-90.80,0.12,-0.51,-81.60,0.46,-0.17,-26.80,***,***,***,0.58,-0.05,-8.00,0.14,-0.49,-77.60,***,***,***,***,***,***,***,***,***,0.13,-0.49,-78.80
PIAB 16,0.68,***,***,***,***,***,***,***,***,***,1.11,0.43,63.24,0.66,-0.03,-3.68,0.33,-0.35,-51.47,0.45,-0.23,-33.82,0.35,-0.33,-48.90,***,***,***,***,***,***,0.00,-0.68,-100.00,0.00,-0.68,-100.00,0.02,-0.67,-97.79,0.16,-0.52,-76.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 17,0.81,***,***,***,***,***,***,***,***,***,0.96,0.15,18.58,0.18,-0.63,-77.71,0.22,-0.59,-73.07,0.12,-0.69,-85.45,0.11,-0.70,-86.07,***,***,***,***,***,***,0.04,-0.77,-95.36,0.07,-0.74,-91.95,0.02,-0.79,-98.14,0.11,-0.70,-87.00,***,***,***,0.05,-0.76,-93.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 18,1.04,***,***,***,***,***,***,***,***,***,1.41,0.36,34.66,0.20,-0.85,-81.07,0.06,-0.99,-94.49,0.13,-0.91,-87.30,0.14,-0.90,-86.34,***,***,***,***,***,***,0.03,-1.02,-97.36,0.03,-1.02,-97.60,0.05,-0.99,-95.21,0.29,-0.76,-72.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 19,0.56,***,***,***,***,***,***,***,***,***,0.96,0.40,71.43,0.85,0.29,52.23,0.16,-0.40,-71.88,0.40,-0.16,-29.02,0.61,0.04,8.04,***,***,***,***,***,***,0.04,-0.52,-92.41,0.01,-0.56,-99.11,0.00,-0.56,-100.00,0.17,-0.40,-70.54,***,***,***,0.01,-0.55,-98.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 20,1.39,***,***,***,***,***,***,***,***,***,1.80,0.42,29.91,0.09,-1.30,-93.69,0.05,-1.34,-96.22,0.26,-1.13,-81.26,0.93,-0.46,-33.15,***,***,***,***,***,***,0.04,-1.35,-97.12,0.00,-1.39,-100.00,0.00,-1.39,-100.00,0.07,-1.32,-94.77,***,***,***,0.41,-0.98,-70.81,0.24,-1.15,-83.06,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 23,0.87,0.88,0.02,2.02,1.22,0.35,40.46,1.60,0.73,84.68,1.19,0.33,37.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 26,0.36,***,***,***,***,***,***,***,***,***,0.55,0.19,51.39,0.38,0.02,5.56,0.47,0.11,30.56,0.42,0.06,15.97,0.41,0.05,12.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 27,1.29,1.59,0.31,23.74,***,***,***,***,***,***,1.05,-0.24,-18.48,0.17,-1.11,-86.58,0.13,-1.16,-90.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 02,1.44,1.19,-0.25,-17.39,1.46,0.02,1.57,1.54,0.10,6.78,1.18,-0.26,-18.26,0.60,-0.84,-58.09,0.25,-1.19,-82.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 04,0.55,0.66,0.11,19.09,0.95,0.40,71.82,0.89,0.34,62.27,1.10,0.55,100.45,0.29,-0.26,-47.27,0.41,-0.14,-25.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 10,1.41,1.02,-0.39,-27.79,1.37,-0.04,-2.83,***,***,***,1.62,0.21,14.87,1.52,0.11,7.79,1.68,0.27,19.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 13,1.91,1.31,-0.60,-31.41,***,***,***,***,***,***,1.63,-0.28,-14.53,0.76,-1.16,-60.47,0.17,-1.75,-91.36,0.21,-1.70,-89.14,0.31,-1.61,-84.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 14,0.91,1.41,0.50,55.22,***,***,***,***,***,***,1.85,0.94,103.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 16,0.81,0.94,0.13,16.46,0.79,-0.02,-2.17,***,***,***,1.26,0.45,56.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIEN 17,1.65,1.75,0.10,6.21,***,***,***,***,***,***,2.08,0.43,25.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 11,0.69,0.89,0.20,29.09,***,***,***,***,***,***,0.79,0.10,14.55,0.30,-0.39,-56.36,0.30,-0.39,-56.00,0.29,-0.40,-57.45,0.10,-0.59,-85.82,0.20,-0.49,-71.27,***,***,***,0.12,-0.57,-83.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 14,2.35,***,***,***,***,***,***,***,***,***,1.86,-0.49,-20.79,0.16,-2.19,-93.39,0.02,-2.32,-99.04,0.01,-2.33,-99.47,0.10,-2.25,-95.84,0.17,-2.17,-92.64,***,***,***,0.06,-2.29,-97.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 23,0.53,***,***,***,***,***,***,***,***,***,0.66,0.13,25.12,0.25,-0.28,-52.61,0.13,-0.40,-74.88,0.09,-0.44,-82.94,0.19,-0.34,-64.93,0.12,-0.41,-77.25,***,***,***,0.12,-0.41,-76.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 24,3.03,***,***,***,***,***,***,***,***,***,1.75,-1.28,-42.21,0.02,-3.01,-99.26,0.09,-2.94,-97.03,0.86,-2.18,-71.72,0.23,-2.80,-92.33,0.20,-2.84,-93.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPN 25,0.86,0.65,-0.21,-24.35,***,***,***,***,***,***,0.41,-0.45,-52.46,0.45,-0.42,-48.41,0.15,-0.71,-82.32,0.48,-0.39,-44.64,0.32,-0.54,-62.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
