ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,13.85,***,***,***,***,***,***,***,***,***,8.34,-5.51,-39.81,***,***,***,2.82,-11.03,-79.62,4.23,-9.61,-69.43,2.25,-11.60,-83.76,***,***,***,***,***,***,3.18,-10.67,-77.07,3.48,-10.36,-74.84,3.48,-10.36,-74.84,4.32,-9.53,-68.79,3.70,-10.14,-73.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,10.50,***,***,***,***,***,***,***,***,***,16.54,6.04,57.56,0.44,-10.06,-95.80,0.97,-9.53,-90.76,0.75,-9.75,-92.86,0.93,-9.57,-91.18,1.94,-8.56,-81.51,***,***,***,3.26,-7.23,-68.91,1.06,-9.44,-89.92,1.10,-9.39,-89.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,15.35,***,***,***,***,***,***,***,***,***,20.55,5.20,33.91,1.28,-14.07,-91.67,1.90,-13.45,-87.64,3.09,-12.26,-79.89,2.03,-13.32,-86.78,4.32,-11.03,-71.84,***,***,***,0.00,-15.35,-100.00,0.26,-15.08,-98.28,0.35,-15.00,-97.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,20.91,***,***,***,***,***,***,***,***,***,20.95,0.04,0.21,1.01,-19.89,-95.15,1.63,-19.27,-92.19,1.85,-19.05,-91.14,6.13,-14.78,-70.68,4.15,-16.76,-80.17,***,***,***,0.40,-20.51,-98.10,1.46,-19.45,-93.04,0.44,-20.46,-97.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,12.26,***,***,***,***,***,***,***,***,***,12.35,0.09,0.72,5.91,-6.35,-51.80,1.68,-10.59,-86.33,2.07,-10.19,-83.09,4.15,-8.12,-66.19,***,***,***,***,***,***,***,***,***,3.88,-8.38,-68.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,7.72,***,***,***,***,***,***,***,***,***,9.35,1.63,21.14,0.00,-7.72,-100.00,0.09,-7.63,-98.86,0.00,-7.72,-100.00,0.00,-7.72,-100.00,0.88,-6.84,-88.57,***,***,***,0.00,-7.72,-100.00,0.00,-7.72,-100.00,0.09,-7.63,-98.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,14.33,12.26,-2.07,-14.46,10.94,-3.40,-23.69,***,***,***,20.82,6.48,45.23,5.73,-8.60,-60.00,4.54,-9.79,-68.31,5.42,-8.91,-62.15,4.59,-9.75,-68.00,9.88,-4.45,-31.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,12.75,***,***,***,***,***,***,***,***,***,10.76,-1.98,-15.57,3.93,-8.82,-69.20,2.47,-10.28,-80.62,4.90,-7.85,-61.59,9.92,-2.82,-22.15,***,***,***,***,***,***,0.18,-12.57,-98.62,1.76,-10.98,-86.16,0.40,-12.35,-96.89,2.82,-9.92,-77.85,***,***,***,2.34,-10.41,-81.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,9.79,28.05,18.26,186.49,***,***,***,***,***,***,16.76,6.97,71.17,1.63,-8.16,-83.33,1.15,-8.64,-88.29,1.85,-7.94,-81.08,1.81,-7.98,-81.53,5.25,-4.54,-46.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,11.03,***,***,***,***,***,***,***,***,***,16.67,5.65,51.20,5.38,-5.65,-51.20,3.26,-7.76,-70.40,2.78,-8.25,-74.80,15.17,4.15,37.60,***,***,***,***,***,***,1.46,-9.57,-86.80,1.01,-10.01,-90.80,2.03,-9.00,-81.60,8.07,-2.96,-26.80,***,***,***,10.14,-0.88,-8.00,2.47,-8.56,-77.60,***,***,***,***,***,***,***,***,***,2.34,-8.69,-78.80
