ProjectUnit = ALL_FMH
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,PR01-Attr,PR02-Attr,PR02-Diff,PR02-%Diff,PR03-Attr,PR03-Diff,PR03-%Diff,PR04-Attr,PR04-Diff,PR04-%Diff,Pre-Attr,Pre-Diff,Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year1-Attr,01Year1-Diff,01Year1-%Diff,01Year2-Attr,01Year2-Diff,01Year2-%Diff,01Year5-Attr,01Year5-Diff,01Year5-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year1-Attr,02Year1-Diff,02Year1-%Diff,02Year2-Attr,02Year2-Diff,02Year2-%Diff,02Year5-Attr,02Year5-Diff,02Year5-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year1-Attr,03Year1-Diff,03Year1-%Diff,03Year2-Attr,03Year2-Diff,03Year2-%Diff,03Year5-Attr,03Year5-Diff,03Year5-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,04Post-Attr,04Post-Diff,04Post-%Diff
PIAB 02,6.00,***,***,***,***,***,***,***,***,***,2.60,-3.40,-56.65,***,***,***,0.93,-5.08,-84.53,1.10,-4.90,-81.65,2.46,-3.54,-58.99,***,***,***,***,***,***,1.56,-4.45,-74.10,2.11,-3.90,-64.93,1.57,-4.44,-73.92,1.44,-4.57,-76.08,2.21,-3.79,-63.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 03,4.71,***,***,***,***,***,***,***,***,***,3.82,-0.89,-18.81,0.51,-4.20,-89.22,0.40,-4.31,-91.51,0.89,-3.82,-81.19,1.22,-3.49,-74.08,0.89,-3.82,-81.19,***,***,***,1.06,-3.65,-77.52,0.84,-3.87,-82.11,1.93,-2.78,-58.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 04,7.10,***,***,***,***,***,***,***,***,***,3.03,-4.06,-57.23,0.57,-6.52,-91.93,0.73,-6.36,-89.65,1.64,-5.45,-76.86,1.74,-5.36,-75.49,2.87,-4.22,-59.51,***,***,***,0.00,-7.10,-100.00,0.23,-6.87,-96.80,0.77,-6.33,-89.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 05,4.02,***,***,***,***,***,***,***,***,***,4.16,0.14,3.49,1.27,-2.74,-68.28,0.95,-3.07,-76.34,2.15,-1.87,-46.51,4.65,0.64,15.86,2.17,-1.85,-45.97,***,***,***,0.59,-3.42,-85.22,0.57,-3.44,-85.75,1.88,-2.14,-53.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 06,2.88,***,***,***,***,***,***,***,***,***,3.29,0.41,14.23,1.76,-1.12,-38.95,0.94,-1.94,-67.42,1.08,-1.80,-62.55,2.34,-0.54,-18.73,***,***,***,***,***,***,***,***,***,1.19,-1.70,-58.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 09,2.97,***,***,***,***,***,***,***,***,***,2.42,-0.55,-18.55,0.12,-2.85,-96.00,0.14,-2.83,-95.27,0.09,-2.88,-97.09,1.24,-1.73,-58.18,1.78,-1.19,-40.00,***,***,***,0.06,-2.90,-97.82,0.18,-2.79,-93.82,0.22,-2.75,-92.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 11,6.65,3.28,-3.37,-50.65,2.34,-4.31,-64.77,***,***,***,5.86,-0.79,-11.85,1.40,-5.25,-78.90,2.66,-4.00,-60.06,2.42,-4.23,-63.64,1.86,-4.79,-72.08,3.66,-2.99,-44.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 13,3.61,***,***,***,***,***,***,***,***,***,3.06,-0.55,-15.27,1.62,-1.99,-55.09,2.04,-1.57,-43.41,2.72,-0.89,-24.55,3.28,-0.32,-8.98,***,***,***,***,***,***,0.17,-3.43,-95.21,0.94,-2.67,-73.95,1.24,-2.37,-65.57,2.16,-1.45,-40.12,***,***,***,0.93,-2.68,-74.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 14,4.58,4.37,-0.21,-4.48,***,***,***,***,***,***,4.73,0.15,3.30,0.22,-4.36,-95.28,1.12,-3.46,-75.47,1.35,-3.23,-70.52,3.33,-1.25,-27.36,5.99,1.41,30.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIAB 15,3.60,***,***,***,***,***,***,***,***,***,2.98,-0.62,-17.12,1.59,-2.01,-55.86,2.76,-0.83,-23.12,3.63,0.03,0.90,3.47,-0.13,-3.60,***,***,***,***,***,***,0.75,-2.85,-79.28,1.38,-2.21,-61.56,1.40,-2.19,-60.96,2.10,-1.50,-41.74,***,***,***,0.93,-2.67,-74.17,1.62,-1.98,-54.95,***,***,***,***,***,***,***,***,***,1.06,-2.54,-70.57
