ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
B:BSAGE1D06:64,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.03,-66.67,0.02,-0.03,-66.67,0.05,0.00,0.00,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:66,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,0.02,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:67,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,0.02,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:60,0.00,***,***,***,***,***,***,0.17,0.17,***,0.05,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:61,0.65,***,***,***,***,***,***,0.37,-0.29,-43.90,0.11,-0.54,-82.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:62,0.17,***,***,***,***,***,***,0.34,0.16,91.86,3.19,3.02,1727.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:63,0.19,***,***,***,***,***,***,0.05,-0.14,-75.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:65,0.30,***,***,***,***,***,***,0.78,0.48,157.89,1.00,0.70,231.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:85,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,0.06,233.33,0.06,0.04,166.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:86,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,0.53,600.00,0.63,0.54,609.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:87,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,0.10,1200.00,0.00,-0.01,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,0.07,225.00,0.10,0.06,200.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,0.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.75,0.74,9300.00,0.76,0.75,9400.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
