ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
B:BSAGE1D06:64,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:66,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:67,1.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.79,-100.00,0.89,-0.89,-50.00,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:60,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:61,3.58,***,***,***,***,***,***,3.73,0.15,4.05,2.04,-1.55,-43.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:62,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:63,1.01,***,***,***,***,***,***,0.00,-1.01,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:65,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:85,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.15,2.15,***,2.15,2.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:86,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.58,0.58,***,0.48,0.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:87,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,0.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.28,1.53,205.69,2.39,1.64,220.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,1.02,***,0.95,0.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:93,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:94,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:91,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:92,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:56,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
C:BSAGE1D06:57,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
B:BSAGE1D06:68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.04,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,1.49,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
