ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
B:BSAGE1D06:64,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.95,0.81,578.57,0.14,0.00,0.00,0.19,0.05,35.71,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:66,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,0.10,66.67,0.10,-0.05,-33.33,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:67,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,0.11,84.62,0.23,0.10,76.92,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:60,0.00,***,***,***,***,***,***,0.24,0.24,***,0.29,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:61,0.79,***,***,***,***,***,***,1.02,0.24,29.94,0.54,-0.25,-31.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:62,0.92,***,***,***,***,***,***,0.22,-0.70,-76.09,1.15,0.23,25.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:63,0.73,***,***,***,***,***,***,0.29,-0.44,-60.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:65,0.93,***,***,***,***,***,***,0.67,-0.26,-27.96,0.41,-0.52,-55.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:85,0.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,-0.08,-14.29,0.23,-0.30,-56.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:86,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,0.05,15.00,0.22,-0.09,-28.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:87,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.44,0.29,200.00,0.16,0.01,6.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.34,0.07,26.42,0.47,0.20,75.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.43,0.22,100.00,0.41,0.20,90.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:93,***,0.08,***,***,0.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:94,***,0.16,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:91,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:92,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:56,***,***,***,***,***,***,***,***,***,***,***,***,***,0.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***
C:BSAGE1D06:57,***,***,***,***,***,***,***,***,***,***,***,***,***,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.17,***,***
B:BSAGE1D06:68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,***,***,0.13,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.79,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,0.08,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,0.16,***,***,0.17,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,0.11,***,***,***,***,***
B:BSAGE1D06:52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.10,***,***,***,***,***
B:BSAGE1D06:55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,***,***,0.05,***,***,***,***,***
Mean,0.40,0.12,0.28,70.20,0.27,0.14,33.57,0.44,-0.03,-8.20,0.60,-0.19,-48.38,0.65,-0.25,-61.41,0.40,0.00,0.92,0.30,0.11,26.74,0.40,0.00,0.31,0.17,0.23,56.96,0.17,0.23,57.78,0.10,0.30,74.34,0.09,0.32,78.48,0.13,0.27,67.72
