ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
B:BSAGE1D06:64,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.74,4.04,578.57,0.70,0.00,0.00,0.95,0.25,35.71,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:66,0.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,0.50,66.67,0.50,-0.25,-33.33,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:67,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.20,0.55,84.62,1.15,0.50,76.92,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:60,0.00,***,***,***,***,***,***,1.20,1.20,***,1.45,1.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:61,3.92,***,***,***,***,***,***,5.09,1.17,29.94,2.70,-1.22,-31.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:62,4.59,***,***,***,***,***,***,1.10,-3.49,-76.09,5.74,1.15,25.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:63,3.64,***,***,***,***,***,***,1.45,-2.20,-60.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:65,4.64,***,***,***,***,***,***,3.34,-1.30,-27.96,2.05,-2.60,-55.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:85,2.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.25,-0.37,-14.29,1.15,-1.47,-56.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:86,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.72,0.22,15.00,1.07,-0.42,-28.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:87,0.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.17,1.45,200.00,0.77,0.05,6.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,1.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.67,0.35,26.42,2.32,1.00,75.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,1.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.15,1.07,100.00,2.05,0.97,90.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:93,***,0.40,***,***,1.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:94,***,0.80,***,***,1.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:91,***,***,***,***,***,***,***,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:92,***,***,***,***,***,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:56,***,***,***,***,***,***,***,***,***,***,***,***,***,3.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***
C:BSAGE1D06:57,***,***,***,***,***,***,***,***,***,***,***,***,***,2.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.85,***,***
B:BSAGE1D06:68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.95,***,***,0.65,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.94,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,***,***,0.40,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.60,***,***,0.80,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.80,***,***,0.55,***,***,***,***,***
B:BSAGE1D06:52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,***,***,0.50,***,***,***,***,***
B:BSAGE1D06:55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.50,***,***,0.25,***,***,***,***,***
Mean,2.01,0.60,1.41,70.20,1.34,0.67,33.57,2.17,-0.16,-8.20,2.98,-0.97,-48.38,3.24,-1.23,-61.41,1.99,0.02,0.92,1.47,0.54,26.74,2.00,0.01,0.31,0.87,1.14,56.96,0.85,1.16,57.78,0.52,1.49,74.34,0.43,1.58,78.48,0.65,1.36,67.72
