ProjectUnit = BSAGE1D06
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr01-Attr,00Yr01-Diff,00Yr01-%Diff,00Yr02-Attr,00Yr02-Diff,00Yr02-%Diff,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr09-Attr,00Yr09-Diff,00Yr09-%Diff,00Yr12-Attr,00Yr12-Diff,00Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,Thin01Yr02-Attr,Thin01Yr02-Diff,Thin01Yr02-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,00Yr20-Attr,00Yr20-Diff,00Yr20-%Diff
B:BSAGE1D06:64,2.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.06,2.32,84.53,2.31,-0.43,-15.72,3.31,0.57,20.63,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:66,3.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.47,-1.07,-30.19,1.60,-1.95,-54.93,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:67,5.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.51,-1.32,-22.71,5.84,0.00,0.06,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:60,0.00,***,***,***,***,***,***,2.47,2.47,***,3.90,3.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:61,25.70,***,***,***,***,***,***,25.14,-0.56,-2.18,32.13,6.44,25.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:62,25.06,***,***,***,***,***,***,26.40,1.34,5.37,43.62,18.56,74.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:63,26.69,***,***,***,***,***,***,19.62,-7.07,-26.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:65,16.58,***,***,***,***,***,***,21.26,4.67,28.17,14.08,-2.50,-15.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:85,10.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.15,3.40,31.68,9.96,-0.79,-7.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:86,8.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.94,4.79,58.84,13.47,5.33,65.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:87,20.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,18.75,-1.91,-9.24,19.87,-0.79,-3.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:88,18.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,15.98,-2.41,-13.12,14.88,-3.51,-19.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
T:BSAGE1D06:89,43.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,45.71,2.48,5.74,45.29,2.06,4.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:93,***,10.17,***,***,13.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:94,***,13.58,***,***,13.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:91,***,***,***,***,***,***,***,8.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:92,***,***,***,***,***,***,***,4.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
C:BSAGE1D06:56,***,***,***,***,***,***,***,***,***,***,***,***,***,9.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.28,***,***
C:BSAGE1D06:57,***,***,***,***,***,***,***,***,***,***,***,***,***,10.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.24,***,***
B:BSAGE1D06:68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.15,***,***,2.00,***,***,3.91,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.94,***,***,1.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.42,***,***,4.60,***,***,4.91,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.61,***,***,3.19,***,***,4.14,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BSAGE1D06:51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.88,***,***,3.07,***,***,***,***,***
