ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,0.01,0.00,0.00,-49.76,***,***,***,***,***,***,***,***,***,0.11,0.10,1249.82,0.12,0.11,1400.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,0.02,0.19,0.16,682.44,***,***,***,***,***,***,0.21,0.18,766.04,0.26,0.23,982.14,***,***,***,***,***,***,***,***,***,***,***,***,0.04,0.02,83.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,0.06,0.16,0.10,157.51,***,***,***,***,***,***,0.01,-0.06,-87.53,0.01,-0.05,-81.22,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.06,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,0.07,0.04,-0.03,-44.44,***,***,***,***,***,***,0.08,0.01,11.11,0.08,0.01,11.11,0.02,-0.06,-77.78,***,***,***,0.03,-0.04,-55.56,***,***,***,***,***,***,0.02,-0.05,-72.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,0.03,***,***,***,***,***,***,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,0.05,***,***,***,***,***,***,***,***,0.03,***,***,0.05,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,0.04,***,***,0.07,***,***,0.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,***,***,***
B:FPIPO1D09:03,***,0.16,***,***,***,***,***,***,***,***,0.10,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.05,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,0.10,***,***,***,***,***,0.02,***,***
B:FPIPO1D09:04,***,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,0.00,***,***,***,***,***,***,***,***,0.01,***,***,0.01,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,0.03,***,***,***,***,***,***,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,***,***,***
B:FPIPO1D09:06,***,0.02,***,***,***,***,***,***,***,***,0.00,***,***,0.02,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,0.01,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***
