ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,0.00,1.13,1.13,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,0.00,3.19,3.19,***,***,***,***,***,***,***,2.51,2.51,***,3.99,3.99,***,***,***,***,***,***,***,***,***,***,***,***,***,2.29,2.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,0.36,2.93,2.57,717.89,***,***,***,***,***,***,1.79,1.43,399.19,2.15,1.79,498.65,***,***,***,***,***,***,***,***,***,***,***,***,26.20,25.84,7206.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,0.00,0.54,0.54,***,***,***,***,***,***,***,0.54,0.54,***,0.54,0.54,***,0.00,0.00,0.00,***,***,***,0.92,0.92,***,***,***,***,***,***,***,0.80,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,6.89,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.82,***,***,2.06,***,***,1.69,***,***,3.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***
B:FPIPO1D09:03,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.79,***,***,0.72,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,1.24,***,***,***,***,***,3.90,***,***
B:FPIPO1D09:04,***,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,0.00,***,***,***,***,***,***,***,***,0.24,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.29,***,***,***,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***
B:FPIPO1D09:06,***,0.32,***,***,***,***,***,***,***,***,3.86,***,***,0.92,***,***,11.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,***,***,***,***,***,***,***,***,23.89,***,***,76.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,0.32,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
