ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,1.29,1.22,-0.07,-5.25,***,***,***,***,***,***,***,***,***,0.36,-0.92,-71.79,0.33,-0.95,-74.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,0.80,2.24,1.43,178.50,***,***,***,***,***,***,1.05,0.25,31.15,0.87,0.07,8.41,***,***,***,***,***,***,***,***,***,***,***,***,0.91,0.11,13.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,1.03,2.42,1.39,135.61,***,***,***,***,***,***,1.30,0.27,26.59,0.56,-0.46,-45.12,***,***,***,***,***,***,***,***,***,***,***,***,0.97,-0.05,-5.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,0.41,0.93,0.52,128.40,***,***,***,***,***,***,0.46,0.05,12.96,0.46,0.05,12.96,0.58,0.17,42.59,***,***,***,1.03,0.62,153.70,***,***,***,***,***,***,0.42,0.02,4.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,0.76,***,***,***,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,1.85,***,***,***,***,***,***,***,***,1.31,***,***,0.42,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.44,***,***,0.36,***,***,0.32,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***
B:FPIPO1D09:03,***,1.79,***,***,***,***,***,***,***,***,0.53,***,***,0.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,0.52,***,***,0.28,***,***,***,***,***,***,***,***,***,***,***,0.41,***,***,0.14,***,***,***,***,***,0.14,***,***
B:FPIPO1D09:04,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,1.58,***,***,***,***,***,***,***,***,0.77,***,***,1.18,***,***,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.77,***,***,1.03,***,***,***,***,***,***,***,***,2.82,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***,***,***,***
B:FPIPO1D09:06,***,2.77,***,***,***,***,***,***,***,***,1.47,***,***,1.44,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,1.09,***,***,1.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,0.75,***,***,***,***,***,***,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:08,***,1.20,***,***,***,***,***,***,***,***,0.60,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.34,***,***,0.26,***,***,***,***,***,***,***,***,***,***,***,0.26,***,***,0.56,***,***,0.41,***,***,0.41,***,***
B:FPIPO1D09:11,***,0.46,***,***,***,***,***,***,***,***,0.19,***,***,0.07,***,***,0.05,***,***,0.16,***,***,***,***,***,0.39,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:12,***,0.71,***,***,0.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:50,***,1.34,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,0.81,***,***,0.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,***,***,0.52,***,***,0.81,***,***,0.99,***,***,***,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:51,***,1.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:58,***,0.83,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:59,***,1.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.88,1.32,-0.44,-49.76,0.74,0.14,16.13,0.66,0.22,24.95,0.70,0.18,20.04,0.62,0.26,29.84,0.61,0.27,31.11,0.49,0.39,44.85,0.73,0.15,16.70,0.39,0.49,56.22,0.83,0.05,6.09,0.42,0.46,51.95,0.09,0.79,89.48,0.39,0.49,55.93,0.56,0.32,36.08,0.42,0.46,52.52,0.77,0.11,12.86,1.95,-1.07,-122.03,0.92,-0.04,-4.62,0.33,0.55,62.19,0.35,0.53,60.06,0.46,0.42,47.31,0.28,0.60,68.59
