ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,12.83,12.15,-0.67,-5.25,***,***,***,***,***,***,***,***,***,3.62,-9.21,-71.79,3.32,-9.51,-74.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,8.01,22.31,14.30,178.50,***,***,***,***,***,***,10.51,2.50,31.15,8.68,0.67,8.41,***,***,***,***,***,***,***,***,***,***,***,***,9.11,1.10,13.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,10.23,24.11,13.88,135.61,***,***,***,***,***,***,12.95,2.72,26.59,5.62,-4.62,-45.12,***,***,***,***,***,***,***,***,***,***,***,***,9.71,-0.52,-5.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,4.04,9.23,5.19,128.40,***,***,***,***,***,***,4.57,0.52,12.96,4.57,0.52,12.96,5.76,1.72,42.59,***,***,***,10.26,6.21,153.70,***,***,***,***,***,***,4.22,0.17,4.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,7.61,***,***,***,***,***,***,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,18.49,***,***,***,***,***,***,***,***,13.10,***,***,4.22,***,***,2.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.39,***,***,3.57,***,***,3.17,***,***,5.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.04,***,***,***,***,***
B:FPIPO1D09:03,***,17.82,***,***,***,***,***,***,***,***,5.29,***,***,2.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.67,***,***,5.14,***,***,2.82,***,***,***,***,***,***,***,***,***,***,***,4.04,***,***,1.40,***,***,***,***,***,1.42,***,***
B:FPIPO1D09:04,***,6.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,15.77,***,***,***,***,***,***,***,***,7.64,***,***,11.75,***,***,7.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.64,***,***,10.31,***,***,***,***,***,***,***,***,28.15,***,***,***,***,***,***,***,***,***,***,***,3.79,***,***,***,***,***
B:FPIPO1D09:06,***,27.63,***,***,***,***,***,***,***,***,14.62,***,***,14.40,***,***,16.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.11,***,***,***,***,***,***,***,***,10.83,***,***,10.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
