ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,1.80,1.66,-0.14,-7.79,***,***,***,***,***,***,***,***,***,0.44,-1.36,-75.80,0.22,-1.58,-88.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,1.23,1.19,-0.04,-3.05,***,***,***,***,***,***,0.36,-0.87,-70.67,0.44,-0.79,-64.36,***,***,***,***,***,***,***,***,***,***,***,***,0.42,-0.81,-65.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,1.52,1.10,-0.42,-27.80,***,***,***,***,***,***,0.23,-1.29,-84.70,0.82,-0.71,-46.38,***,***,***,***,***,***,***,***,***,***,***,***,0.21,-1.31,-86.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,1.01,1.40,0.39,38.71,***,***,***,***,***,***,0.57,-0.44,-43.92,0.57,-0.44,-43.92,0.87,-0.14,-13.90,***,***,***,0.70,-0.31,-31.02,***,***,***,***,***,***,0.97,-0.04,-3.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,0.49,***,***,***,***,***,***,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,1.70,***,***,***,***,***,***,***,***,1.00,***,***,0.41,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.36,***,***,0.04,***,***,0.23,***,***,0.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.52,***,***,***,***,***
B:FPIPO1D09:03,***,2.17,***,***,***,***,***,***,***,***,0.81,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.51,***,***,1.04,***,***,0.67,***,***,***,***,***,***,***,***,***,***,***,0.46,***,***,0.06,***,***,***,***,***,0.72,***,***
B:FPIPO1D09:04,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,1.46,***,***,***,***,***,***,***,***,1.09,***,***,0.46,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,***,***,0.17,***,***,***,***,***,***,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***,0.36,***,***,***,***,***
B:FPIPO1D09:06,***,1.97,***,***,***,***,***,***,***,***,1.19,***,***,1.12,***,***,1.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.60,***,***,***,***,***,***,***,***,1.54,***,***,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***
