ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,8.97,8.27,-0.70,-7.79,***,***,***,***,***,***,***,***,***,2.17,-6.80,-75.80,1.07,-7.90,-88.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,6.13,5.94,-0.19,-3.05,***,***,***,***,***,***,1.80,-4.33,-70.67,2.18,-3.94,-64.36,***,***,***,***,***,***,***,***,***,***,***,***,2.11,-4.02,-65.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,7.59,5.48,-2.11,-27.80,***,***,***,***,***,***,1.16,-6.43,-84.70,4.07,-3.52,-46.38,***,***,***,***,***,***,***,***,***,***,***,***,1.06,-6.53,-86.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,5.03,6.98,1.95,38.71,***,***,***,***,***,***,2.82,-2.21,-43.92,2.82,-2.21,-43.92,4.33,-0.70,-13.90,***,***,***,3.47,-1.56,-31.02,***,***,***,***,***,***,4.84,-0.19,-3.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,2.45,***,***,***,***,***,***,***,***,1.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,8.50,***,***,***,***,***,***,***,***,4.99,***,***,2.05,***,***,3.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.80,***,***,0.19,***,***,1.14,***,***,3.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.57,***,***,***,***,***
B:FPIPO1D09:03,***,10.82,***,***,***,***,***,***,***,***,4.03,***,***,1.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.56,***,***,5.18,***,***,3.34,***,***,***,***,***,***,***,***,***,***,***,2.28,***,***,0.29,***,***,***,***,***,3.61,***,***
B:FPIPO1D09:04,***,7.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,7.27,***,***,***,***,***,***,***,***,5.44,***,***,2.31,***,***,4.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.67,***,***,0.86,***,***,***,***,***,***,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***,1.78,***,***,***,***,***
B:FPIPO1D09:06,***,9.81,***,***,***,***,***,***,***,***,5.95,***,***,5.57,***,***,6.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.99,***,***,***,***,***,***,***,***,7.66,***,***,2.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,3.56,***,***,***,***,***,***,***,***,2.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:08,***,5.71,***,***,***,***,***,***,***,***,3.51,***,***,1.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.63,***,***,2.60,***,***,4.67,***,***,***,***,***,***,***,***,***,***,***,2.15,***,***,4.35,***,***,5.02,***,***,3.08,***,***
B:FPIPO1D09:11,***,9.92,***,***,***,***,***,***,***,***,1.21,***,***,2.37,***,***,1.76,***,***,2.05,***,***,***,***,***,3.27,***,***,***,***,***,***,***,***,2.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:12,***,10.28,***,***,4.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:50,***,9.73,***,***,***,***,***,***,***,***,4.55,***,***,***,***,***,***,***,***,6.76,***,***,5.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.85,***,***,4.85,***,***,2.61,***,***,5.83,***,***,***,***,***,4.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:51,***,7.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:58,***,7.45,***,***,***,***,***,10.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:59,***,5.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,6.93,7.39,-0.46,-6.67,4.77,2.16,31.20,10.67,-3.74,-53.98,3.27,3.66,52.80,2.65,4.28,61.71,3.66,3.26,47.11,4.40,2.52,36.43,4.43,2.50,36.06,3.27,3.66,52.81,2.76,4.17,60.20,4.84,2.09,30.12,2.57,4.36,62.90,2.70,4.23,60.99,2.78,4.15,59.90,2.94,3.99,57.59,4.48,2.45,35.34,6.16,0.77,11.12,3.71,3.22,46.51,2.21,4.71,68.03,2.32,4.61,66.50,3.12,3.80,54.92,3.34,3.58,51.73
