ProjectUnit = FPIPO1D09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,00Yr15-Attr,00Yr15-Diff,00Yr15-%Diff,00Yr18-Attr,00Yr18-Diff,00Yr18-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr03-Attr,01Yr03-Diff,01Yr03-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr08-Attr,01Yr08-Diff,01Yr08-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr14-Attr,01Yr14-Diff,01Yr14-%Diff,01Yr15-Attr,01Yr15-Diff,01Yr15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff,02Yr05-Attr,02Yr05-Diff,02Yr05-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr14-Attr,02Yr14-Diff,02Yr14-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Yr01-Attr,03Yr01-Diff,03Yr01-%Diff,03Yr05-Attr,03Yr05-Diff,03Yr05-%Diff,04Yr05-Attr,04Yr05-Diff,04Yr05-%Diff
B:FPIPO1D09:09,24.73,22.10,-2.64,-10.65,***,***,***,***,***,***,***,***,***,7.58,-17.15,-69.35,4.97,-19.76,-79.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:10,32.77,39.23,6.46,19.71,***,***,***,***,***,***,21.93,-10.84,-33.08,22.04,-10.73,-32.74,***,***,***,***,***,***,***,***,***,***,***,***,16.20,-16.57,-50.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:55,24.40,42.98,18.58,76.17,***,***,***,***,***,***,17.68,-6.72,-27.53,13.15,-11.25,-46.11,***,***,***,***,***,***,***,***,***,***,***,***,49.05,24.65,101.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:56,9.69,17.55,7.85,81.05,***,***,***,***,***,***,9.37,-0.32,-3.33,9.37,-0.32,-3.33,11.10,1.41,14.53,***,***,***,15.14,5.45,56.21,***,***,***,***,***,***,11.37,1.68,17.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:01,***,35.92,***,***,***,***,***,***,***,***,3.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:02,***,43.25,***,***,***,***,***,***,***,***,20.69,***,***,7.44,***,***,8.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.86,***,***,7.22,***,***,6.89,***,***,14.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.13,***,***,***,***,***
B:FPIPO1D09:03,***,45.74,***,***,***,***,***,***,***,***,10.04,***,***,5.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.37,***,***,11.54,***,***,7.91,***,***,***,***,***,***,***,***,***,***,***,8.33,***,***,4.25,***,***,***,***,***,13.23,***,***
B:FPIPO1D09:04,***,45.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:05,***,30.85,***,***,***,***,***,***,***,***,14.92,***,***,14.61,***,***,12.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.78,***,***,12.17,***,***,***,***,***,***,***,***,37.23,***,***,***,***,***,***,***,***,***,***,***,8.05,***,***,***,***,***
B:FPIPO1D09:06,***,39.19,***,***,***,***,***,***,***,***,27.12,***,***,21.21,***,***,36.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.13,***,***,***,***,***,***,***,***,44.58,***,***,106.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:07,***,29.77,***,***,***,***,***,***,***,***,7.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:08,***,33.19,***,***,***,***,***,***,***,***,10.80,***,***,8.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.05,***,***,7.17,***,***,8.77,***,***,***,***,***,***,***,***,***,***,***,6.17,***,***,10.17,***,***,11.27,***,***,9.84,***,***
B:FPIPO1D09:11,***,45.78,***,***,***,***,***,***,***,***,26.24,***,***,22.12,***,***,18.35,***,***,16.78,***,***,***,***,***,21.75,***,***,***,***,***,***,***,***,25.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:12,***,46.41,***,***,14.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:50,***,25.63,***,***,***,***,***,***,***,***,9.87,***,***,***,***,***,***,***,***,17.05,***,***,11.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.49,***,***,14.49,***,***,15.16,***,***,23.29,***,***,***,***,***,19.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:51,***,28.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,48.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:58,***,35.71,***,***,***,***,***,54.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FPIPO1D09:59,***,28.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,22.90,35.26,-12.36,-54.00,14.39,8.51,37.17,54.25,-31.35,-136.92,14.92,7.98,34.84,13.11,9.79,42.75,15.42,7.48,32.65,16.91,5.98,26.13,13.30,9.60,41.93,21.75,1.14,5.00,38.07,-15.18,-66.28,11.37,11.53,50.35,25.19,-2.29,-9.99,8.91,13.99,61.08,10.45,12.44,54.35,9.68,13.21,57.71,18.95,3.94,17.22,40.91,-18.01,-78.65,63.03,-40.13,-175.27,7.25,15.65,68.34,7.21,15.69,68.52,10.48,12.41,54.21,11.54,11.36,49.62
