ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,4.55,***,***,***,1.22,-3.33,-73.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,2.44,0.00,-2.44,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,1.59,***,***,***,0.00,-1.59,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,2.42,2.42,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,4.84,2.42,100.00,***,***,***
B:BARPA1X06:05,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,0.61,***,***,***,1.21,0.60,98.93,***,***,***,***,***,***,***,***,***,2.42,1.82,297.86,***,***,***
B:BARPA1X06:07,6.11,3.67,-2.44,-40.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,4.84,7.26,2.42,50.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,7.39,8.62,1.23,16.67,***,***,***,0.00,-7.39,-100.00,***,***,***,***,***,***,1.23,-6.16,-83.33,***,***,***
B:BARPA1X06:10,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,10.89,10.89,***,***,***,***
B:BARPA1X06:11,1.23,2.45,1.23,100.00,***,***,***,***,***,***,***,***,***,***,***,***,7.36,6.14,500.00,***,***,***
B:BARPA1X06:12,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,3.63,1.21,-2.42,-66.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.42,-1.21,-33.33
B:BARPA1X06:14,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,2.42,2.42,***,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
Mean,2.49,2.33,0.16,6.29,0.81,1.68,67.45,0.00,2.49,100.00,0.00,2.49,100.00,0.00,2.49,100.00,4.86,-2.38,-95.50,2.42,0.06,2.56
