ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,0.00,3.34,3.34,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:05,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:07,14.14,0.00,-14.14,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,0.00,0.87,0.87,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:10,1.98,1.96,-0.02,-0.95,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.98,-100.00,***,***,***
B:BARPA1X06:11,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:12,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,0.00,1.42,1.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:BARPA1X06:14,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
Mean,1.15,0.69,0.46,40.09,0.00,1.15,100.00,0.00,1.15,100.00,0.00,1.15,100.00,0.00,1.15,100.00,0.00,1.15,100.00,0.00,1.15,100.00
