ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,46.45,44.56,-1.89,-4.08,***,***,***,***,***,***,***,***,***,***,***,***,6.73,-39.72,-85.52,***,***,***
B:BARPA1X06:05,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,0.44,***,***,***,0.00,-0.44,-100.00,***,***,***,***,***,***,***,***,***,0.00,-0.44,-100.00,***,***,***
B:BARPA1X06:07,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,1.94,0.00,-1.94,-100.00,***,***,***,0.00,-1.94,-100.00,***,***,***,***,***,***,0.00,-1.94,-100.00,***,***,***
B:BARPA1X06:10,2.52,0.00,-2.52,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,44.56,42.04,1669.56,***,***,***
B:BARPA1X06:11,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:12,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:BARPA1X06:14,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,9.81,***,***,0.00,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
Mean,3.67,4.05,-0.38,-10.44,0.00,3.67,100.00,0.00,3.67,100.00,3.27,0.40,10.83,0.00,3.67,100.00,8.55,-4.88,-133.04,0.00,3.67,100.00
