ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,16.90,***,***,***,15.27,-1.62,-9.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,13.58,13.88,0.30,2.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,27.38,***,***,***,16.27,-11.11,-40.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,25.16,32.94,7.79,30.95,***,***,***,***,***,***,***,***,***,***,***,***,20.76,-4.39,-17.46,***,***,***
B:BARPA1X06:05,26.55,23.36,-3.19,-12.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,20.21,***,***,***,18.17,-2.05,-10.12,***,***,***,***,***,***,***,***,***,21.56,1.35,6.67,***,***,***
B:BARPA1X06:07,24.26,20.96,-3.29,-13.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,17.67,18.87,1.20,6.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,9.88,18.47,8.58,86.87,***,***,***,0.00,-9.88,-100.00,***,***,***,***,***,***,4.24,-5.64,-57.07,***,***,***
B:BARPA1X06:10,4.59,9.88,5.29,115.22,***,***,***,***,***,***,***,***,***,***,***,***,4.79,0.20,4.35,***,***,***
B:BARPA1X06:11,1.40,4.19,2.80,200.00,***,***,***,***,***,***,***,***,***,***,***,***,1.30,-0.10,-7.14,***,***,***
B:BARPA1X06:12,7.39,9.48,2.10,28.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,23.36,34.24,10.88,46.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,19.77,-3.59,-15.38
B:BARPA1X06:14,14.08,20.86,6.79,48.23,***,***,***,***,***,***,***,***,***,***,***,***,11.28,-2.80,-19.86,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.00,***,***,2.20,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,3.39,***,***,2.99,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,8.49,***,***,6.89,***,***,***,***,***,***,***,***
Mean,16.60,18.83,-2.23,-13.44,16.57,0.03,0.17,0.00,16.60,100.00,3.96,12.64,76.15,4.03,12.57,75.74,10.66,5.94,35.80,19.77,-3.17,-19.07
