ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,1.19,***,***,***,0.68,-0.51,-42.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,1.16,0.51,-0.65,-56.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,1.43,***,***,***,0.50,-0.93,-64.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,1.36,0.52,-0.84,-61.76,***,***,***,***,***,***,***,***,***,***,***,***,1.49,0.13,9.56,***,***,***
B:BARPA1X06:05,1.45,0.34,-1.11,-76.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,1.01,***,***,***,0.66,-0.35,-34.49,***,***,***,***,***,***,***,***,***,0.53,-0.48,-47.39,***,***,***
B:BARPA1X06:07,1.67,0.70,-0.97,-58.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,1.51,0.19,-1.32,-87.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,0.94,0.76,-0.18,-19.15,***,***,***,0.00,-0.94,-100.00,***,***,***,***,***,***,0.19,-0.75,-80.05,***,***,***
B:BARPA1X06:10,0.63,0.16,-0.47,-74.60,***,***,***,***,***,***,***,***,***,***,***,***,0.48,-0.15,-23.81,***,***,***
B:BARPA1X06:11,0.15,0.28,0.13,86.67,***,***,***,***,***,***,***,***,***,***,***,***,0.54,0.39,260.00,***,***,***
B:BARPA1X06:12,0.65,0.12,-0.53,-81.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,1.34,2.48,1.14,85.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.12,-0.22,-16.42
B:BARPA1X06:14,1.42,1.12,-0.30,-21.13,***,***,***,***,***,***,***,***,***,***,***,***,1.03,-0.39,-27.46,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.61,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,0.88,***,***,0.29,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,1.09,***,***,0.48,***,***,***,***,***,***,***,***
Mean,1.14,0.65,0.48,42.53,0.61,0.52,46.00,0.00,1.14,100.00,0.71,0.43,37.78,0.46,0.68,59.50,0.71,0.43,37.52,1.12,0.02,1.38
