ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,5.93,***,***,***,3.39,-2.53,-42.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,5.79,2.55,-3.24,-56.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,7.11,***,***,***,2.50,-4.62,-64.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,6.79,2.60,-4.19,-61.76,***,***,***,***,***,***,***,***,***,***,***,***,7.44,0.65,9.56,***,***,***
B:BARPA1X06:05,7.24,1.70,-5.54,-76.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,5.03,***,***,***,3.29,-1.73,-34.49,***,***,***,***,***,***,***,***,***,2.65,-2.38,-47.39,***,***,***
B:BARPA1X06:07,8.34,3.49,-4.84,-58.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,7.54,0.95,-6.59,-87.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,4.69,3.79,-0.90,-19.15,***,***,***,0.00,-4.69,-100.00,***,***,***,***,***,***,0.94,-3.76,-80.05,***,***,***
B:BARPA1X06:10,3.14,0.80,-2.35,-74.60,***,***,***,***,***,***,***,***,***,***,***,***,2.40,-0.75,-23.81,***,***,***
B:BARPA1X06:11,0.75,1.40,0.65,86.67,***,***,***,***,***,***,***,***,***,***,***,***,2.70,1.95,260.00,***,***,***
B:BARPA1X06:12,3.24,0.60,-2.65,-81.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,6.69,12.38,5.69,85.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.59,-1.10,-16.42
B:BARPA1X06:14,7.09,5.59,-1.50,-21.13,***,***,***,***,***,***,***,***,***,***,***,***,5.14,-1.95,-27.46,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.75,***,***,3.04,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,4.39,***,***,1.45,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,5.44,***,***,2.40,***,***,***,***,***,***,***,***
Mean,5.67,3.26,2.41,42.53,3.06,2.61,46.00,0.00,5.67,100.00,3.53,2.14,37.78,2.30,3.37,59.50,3.54,2.13,37.52,5.59,0.08,1.38
