ProjectUnit = BARPA1X06
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,00Yr05-Attr,00Yr05-Diff,00Yr05-%Diff,00Yr06-Attr,00Yr06-Diff,00Yr06-%Diff,Thin01Post-Attr,Thin01Post-Diff,Thin01Post-%Diff,01Yr07-Attr,01Yr07-Diff,01Yr07-%Diff,01Yr12-Attr,01Yr12-Diff,01Yr12-%Diff,Thin01Yr01-Attr,Thin01Yr01-Diff,Thin01Yr01-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff
B:BARPA1X06:01,29.38,***,***,***,22.23,-7.15,-24.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:02,24.07,18.41,-5.66,-23.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:03,38.05,***,***,***,20.97,-17.08,-44.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:04,87.57,88.78,1.21,1.38,***,***,***,***,***,***,***,***,***,***,***,***,44.37,-43.20,-49.33,***,***,***
B:BARPA1X06:05,34.46,27.17,-7.29,-21.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:06,28.73,***,***,***,28.28,-0.44,-1.54,***,***,***,***,***,***,***,***,***,37.14,8.42,29.29,***,***,***
B:BARPA1X06:07,54.60,33.05,-21.55,-39.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:08,37.10,38.14,1.03,2.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:09,28.27,35.09,6.82,24.12,***,***,***,0.00,-28.27,-100.00,***,***,***,***,***,***,7.16,-21.11,-74.68,***,***,***
B:BARPA1X06:10,15.69,13.76,-1.93,-12.30,***,***,***,***,***,***,***,***,***,***,***,***,65.62,49.94,318.33,***,***,***
B:BARPA1X06:11,5.87,9.60,3.73,63.50,***,***,***,***,***,***,***,***,***,***,***,***,13.66,7.79,132.56,***,***,***
B:BARPA1X06:12,14.23,12.98,-1.25,-8.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:BARPA1X06:13,36.28,54.18,17.90,49.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,29.57,-6.71,-18.50
B:BARPA1X06:14,24.71,29.49,4.78,19.34,***,***,***,***,***,***,***,***,***,***,***,***,22.67,-2.05,-8.29,***,***,***
B:BARPA1X06:15,***,***,***,***,***,***,***,***,***,***,0.80,***,***,5.29,***,***,***,***,***,***,***,***
B:BARPA1X06:16,***,***,***,***,***,***,***,***,***,***,17.94,***,***,5.10,***,***,***,***,***,***,***,***
B:BARPA1X06:17,***,***,***,***,***,***,***,***,***,***,14.27,***,***,9.93,***,***,***,***,***,***,***,***
Mean,32.79,32.79,0.00,0.00,23.83,8.96,27.32,0.00,32.79,100.00,11.00,21.79,66.45,6.77,26.01,79.34,31.77,1.02,3.10,29.57,3.22,9.82
