ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,1.21,0.30,-0.91,-75.09,3.03,1.82,149.75,1.82,0.60,49.71,0.30,-0.91,-75.09,***,***,***,***,***,***,***,***,***,2.74,1.53,125.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,0.30,0.30,***,0.31,0.31,***,0.61,0.61,***,2.49,2.49,***,0.31,0.31,***,***,***,***,***,***,***,4.02,4.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,3.35,1.52,-1.83,-54.68,0.91,-2.44,-72.81,1.83,-1.51,-45.24,0.30,-3.04,-90.92,***,***,***,***,***,***,***,***,***,1.21,-2.14,-63.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,4.85,1.82,-3.03,-62.50,0.30,-4.54,-93.74,0.00,-4.85,-100.00,0.30,-4.54,-93.75,***,***,***,***,***,***,***,***,***,1.82,-3.03,-62.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,1.21,1.52,0.31,25.35,2.13,0.91,75.40,1.82,0.61,50.23,1.21,0.00,0.19,2.74,1.52,125.73,***,***,***,***,***,***,2.74,1.53,126.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,0.62,0.92,0.30,49.42,2.47,1.85,301.05,1.84,1.22,198.84,0.62,0.00,0.08,3.36,2.74,446.28,***,***,***,***,***,***,2.45,1.83,298.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,0.93,1.54,0.61,65.24,2.15,1.21,129.96,1.23,0.30,31.86,0.93,-0.01,-0.78,3.06,2.13,227.42,***,***,***,***,***,***,4.00,3.06,327.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,0.61,***,***,0.00,***,***,0.30,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.61,***,***,0.91,***,***,***,***,***
B:FABCO1D08:05,***,3.96,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.66,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,***,***,***,0.61,***,***,1.83,***,***,***,***,***
B:FABCO1D08:07,***,4.24,***,***,0.00,***,***,0.61,***,***,0.30,***,***,1.82,***,***,5.16,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***,***,***,***,1.21,***,***,1.21,***,***,***,***,***
B:FABCO1D08:08,***,3.95,***,***,1.52,***,***,1.21,***,***,3.34,***,***,3.64,***,***,***,***,***,5.16,***,***,***,***,***,6.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,0.92,***,***,0.61,***,***,0.31,***,***,0.61,***,***,0.61,***,***,***,***,***,2.77,***,***,***,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:12,***,0.61,***,***,0.61,***,***,0.30,***,***,0.30,***,***,0.61,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,1.51,***,***,1.21,***,***,***,***,***
B:FABCO1D08:14,***,0.30,***,***,0.30,***,***,0.30,***,***,2.13,***,***,0.62,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,0.62,***,***,0.93,***,***,***,***,***
B:FABCO1D08:15,***,2.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,2.74,***,***,***,***,***,3.35,***,***,5.47,***,***,1.83,***,***,***,***,***,1.83,***,***,***,***,***,***,***,***,0.61,***,***,0.31,***,***,***,***,***,***,***,***,1.52,***,***
B:FABCO1D08:17,***,0.91,***,***,0.61,***,***,0.61,***,***,0.30,***,***,0.61,***,***,***,***,***,2.72,***,***,***,***,***,***,***,***,0.61,***,***,0.00,***,***,***,***,***,***,***,***,0.61,***,***
B:FABCO1D08:18,***,0.30,***,***,2.72,***,***,3.33,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***,4.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:19,***,2.73,***,***,***,***,***,2.42,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,3.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,2.79,***,***,0.62,***,***,0.00,***,***,0.62,***,***,2.48,***,***,***,***,***,8.37,***,***,***,***,***,7.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,0.61,***,***,***,***,***,0.61,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,1.83,***,***,0.92,***,***,1.22,***,***,0.30,***,***,4.88,***,***,***,***,***,***,***,***,4.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:25,***,1.82,***,***,***,***,***,0.61,***,***,1.21,***,***,0.61,***,***,***,***,***,***,***,***,3.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:27,***,1.52,***,***,0.61,***,***,1.52,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:28,***,0.91,***,***,0.00,***,***,1.21,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,1.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:29,***,0.61,***,***,***,***,***,0.30,***,***,0.30,***,***,0.61,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:50,***,1.21,***,***,1.82,***,***,0.30,***,***,2.42,***,***,0.30,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,1.51,***,***,1.82,***,***,***,***,***
B:FABCO1D08:52,***,0.91,***,***,0.00,***,***,0.61,***,***,0.31,***,***,0.92,***,***,1.53,***,***,***,***,***,***,***,***,***,***,***,1.22,***,***,***,***,***,4.88,***,***,2.13,***,***,***,***,***
B:FABCO1D08:53,***,2.12,***,***,0.30,***,***,0.00,***,***,1.21,***,***,0.91,***,***,1.82,***,***,***,***,***,***,***,***,***,***,***,1.82,***,***,***,***,***,5.15,***,***,1.21,***,***,***,***,***
B:FABCO1D08:54,***,4.05,***,***,0.00,***,***,0.00,***,***,0.92,***,***,0.91,***,***,1.84,***,***,***,***,***,***,***,***,***,***,***,0.93,***,***,***,***,***,0.93,***,***,0.62,***,***,***,***,***
B:FABCO1D08:56,***,2.15,***,***,0.92,***,***,0.00,***,***,0.61,***,***,1.22,***,***,***,***,***,1.22,***,***,***,***,***,1.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:58,***,6.23,***,***,0.30,***,***,0.00,***,***,0.91,***,***,1.54,***,***,***,***,***,5.30,***,***,***,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:61,***,1.24,***,***,0.00,***,***,0.62,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:62,***,2.42,***,***,0.61,***,***,0.91,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.74,1.82,-0.08,-4.42,0.85,0.89,51.19,0.90,0.84,48.05,0.95,0.79,45.32,1.46,0.28,16.05,1.79,-0.05,-3.09,3.91,-2.17,-124.90,2.56,-0.82,-47.24,3.86,-2.12,-122.12,0.83,0.91,52.32,0.15,1.58,91.11,1.89,-0.15,-8.80,1.32,0.42,24.23,1.06,0.68,38.97
