ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,4.98,0.66,-4.33,-86.83,0.63,-4.35,-87.32,0.00,-4.98,-100.00,0.00,-4.98,-100.00,***,***,***,***,***,***,***,***,***,2.16,-2.82,-56.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,0.63,0.63,***,0.00,0.00,0.00,0.28,0.28,***,0.00,0.00,0.00,0.29,0.29,***,***,***,***,***,***,***,23.56,23.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,74.59,0.00,-74.59,-100.00,3.21,-71.39,-95.70,38.33,-36.27,-48.62,3.22,-71.38,-95.69,***,***,***,***,***,***,***,***,***,6.07,-68.53,-91.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,5.97,4.62,-1.36,-22.70,1.95,-4.02,-67.35,1.89,-4.08,-68.35,1.67,-4.31,-72.10,***,***,***,***,***,***,***,***,***,38.06,32.08,537.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,2.31,6.11,3.80,164.72,0.73,-1.58,-68.34,0.63,-1.68,-72.70,4.13,1.82,78.84,8.45,6.14,265.99,***,***,***,***,***,***,38.61,36.30,1572.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,0.59,0.00,-0.59,-100.00,0.00,-0.59,-100.00,0.00,-0.59,-100.00,0.21,-0.38,-63.79,0.00,-0.59,-100.00,***,***,***,***,***,***,2.29,1.69,286.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,3.50,2.71,-0.79,-22.58,0.00,-3.50,-100.00,0.54,-2.96,-84.55,0.54,-2.96,-84.55,0.85,-2.66,-75.86,***,***,***,***,***,***,5.96,2.46,70.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,2.08,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,1.29,***,***,***,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***,6.50,***,***,8.87,***,***,***,***,***
B:FABCO1D08:05,***,31.80,***,***,27.57,***,***,33.43,***,***,33.43,***,***,35.89,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***,2.36,***,***,***,***,***,21.60,***,***,35.87,***,***,***,***,***
B:FABCO1D08:07,***,56.10,***,***,42.88,***,***,32.33,***,***,33.02,***,***,53.13,***,***,102.98,***,***,***,***,***,***,***,***,***,***,***,43.16,***,***,***,***,***,60.00,***,***,78.62,***,***,***,***,***
B:FABCO1D08:08,***,6.81,***,***,4.96,***,***,2.93,***,***,4.07,***,***,4.91,***,***,***,***,***,4.36,***,***,***,***,***,4.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,0.00,***,***,1.17,***,***,1.19,***,***,2.18,***,***,1.10,***,***,***,***,***,4.35,***,***,***,***,***,19.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:12,***,0.92,***,***,0.49,***,***,0.98,***,***,1.07,***,***,2.15,***,***,18.76,***,***,***,***,***,***,***,***,***,***,***,6.10,***,***,***,***,***,6.38,***,***,6.27,***,***,***,***,***
B:FABCO1D08:14,***,0.84,***,***,0.45,***,***,0.96,***,***,2.92,***,***,6.46,***,***,5.08,***,***,***,***,***,***,***,***,***,***,***,1.21,***,***,***,***,***,0.47,***,***,6.32,***,***,***,***,***
B:FABCO1D08:15,***,4.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,5.83,***,***,***,***,***,4.20,***,***,5.78,***,***,16.60,***,***,***,***,***,25.59,***,***,***,***,***,***,***,***,5.62,***,***,8.69,***,***,***,***,***,***,***,***,7.55,***,***
B:FABCO1D08:17,***,17.24,***,***,16.76,***,***,16.76,***,***,10.52,***,***,1.10,***,***,***,***,***,54.36,***,***,***,***,***,***,***,***,33.44,***,***,39.45,***,***,***,***,***,***,***,***,26.89,***,***
B:FABCO1D08:18,***,0.63,***,***,1.46,***,***,4.92,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,26.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:19,***,14.72,***,***,***,***,***,9.77,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,4.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,0.00,***,***,0.00,***,***,7.51,***,***,7.43,***,***,6.56,***,***,***,***,***,55.06,***,***,***,***,***,28.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,11.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,0.57,***,***,2.58,***,***,4.38,***,***,1.80,***,***,5.10,***,***,***,***,***,***,***,***,13.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:25,***,0.00,***,***,***,***,***,0.65,***,***,1.02,***,***,1.07,***,***,***,***,***,***,***,***,2.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:27,***,4.72,***,***,0.73,***,***,2.91,***,***,2.51,***,***,***,***,***,***,***,***,***,***,***,7.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:28,***,0.58,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,7.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:29,***,0.87,***,***,***,***,***,0.43,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,11.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:50,***,5.59,***,***,0.00,***,***,5.59,***,***,6.63,***,***,0.42,***,***,15.95,***,***,***,***,***,***,***,***,***,***,***,20.14,***,***,***,***,***,32.25,***,***,39.19,***,***,***,***,***
B:FABCO1D08:52,***,0.25,***,***,0.00,***,***,0.48,***,***,2.34,***,***,2.78,***,***,16.74,***,***,***,***,***,***,***,***,***,***,***,9.95,***,***,***,***,***,10.10,***,***,8.04,***,***,***,***,***
B:FABCO1D08:53,***,2.74,***,***,0.37,***,***,12.54,***,***,12.22,***,***,12.82,***,***,20.16,***,***,***,***,***,***,***,***,***,***,***,16.76,***,***,***,***,***,18.84,***,***,23.86,***,***,***,***,***
B:FABCO1D08:54,***,0.00,***,***,5.24,***,***,7.05,***,***,33.47,***,***,2.40,***,***,2.65,***,***,***,***,***,***,***,***,***,***,***,12.04,***,***,***,***,***,8.93,***,***,7.96,***,***,***,***,***
