ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,1.09,1.52,0.43,38.99,0.60,-0.49,-45.18,0.84,-0.25,-22.71,0.36,-0.73,-66.97,***,***,***,***,***,***,***,***,***,1.68,0.59,53.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,1.86,1.86,***,0.46,0.46,***,0.83,0.83,***,0.28,0.28,***,0.94,0.94,***,***,***,***,***,***,***,1.55,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,5.03,3.71,-1.32,-26.27,0.30,-4.73,-94.08,0.68,-4.35,-86.52,0.21,-4.82,-95.92,***,***,***,***,***,***,***,***,***,1.69,-3.34,-66.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,1.26,1.37,0.11,8.76,0.20,-1.06,-84.26,0.32,-0.94,-74.90,0.18,-1.08,-85.66,***,***,***,***,***,***,***,***,***,0.80,-0.46,-36.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,0.40,0.74,0.34,84.38,0.59,0.19,46.88,0.34,-0.06,-14.38,0.38,-0.03,-6.25,0.80,0.40,100.63,***,***,***,***,***,***,1.00,0.60,149.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,2.08,1.76,-0.32,-15.38,0.49,-1.59,-76.56,0.40,-1.69,-81.01,0.17,-1.91,-91.95,1.31,-0.77,-36.90,***,***,***,***,***,***,1.76,-0.32,-15.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,1.19,1.98,0.79,66.18,0.39,-0.80,-67.02,0.65,-0.54,-45.38,0.24,-0.96,-80.25,1.23,0.04,3.15,***,***,***,***,***,***,1.36,0.17,14.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,0.35,***,***,0.03,***,***,0.00,***,***,0.02,***,***,0.02,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,0.14,***,***,***,***,***,0.02,***,***,0.26,***,***,***,***,***
B:FABCO1D08:05,***,0.92,***,***,0.00,***,***,0.01,***,***,0.03,***,***,0.38,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,***,***,***,0.17,***,***,0.42,***,***,***,***,***
B:FABCO1D08:07,***,1.63,***,***,0.00,***,***,0.01,***,***,0.07,***,***,0.27,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,***,***,***,0.01,***,***,0.32,***,***,***,***,***
B:FABCO1D08:08,***,2.57,***,***,0.62,***,***,0.32,***,***,0.21,***,***,0.67,***,***,***,***,***,1.44,***,***,***,***,***,1.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,1.05,***,***,0.37,***,***,0.28,***,***,0.39,***,***,0.43,***,***,***,***,***,0.90,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:12,***,0.69,***,***,0.05,***,***,0.08,***,***,0.12,***,***,0.54,***,***,0.42,***,***,***,***,***,***,***,***,***,***,***,0.56,***,***,***,***,***,0.06,***,***,0.79,***,***,***,***,***
B:FABCO1D08:14,***,0.70,***,***,0.03,***,***,0.09,***,***,0.05,***,***,0.34,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,0.53,***,***,***,***,***,0.15,***,***,1.08,***,***,***,***,***
B:FABCO1D08:15,***,2.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,0.82,***,***,***,***,***,0.38,***,***,0.58,***,***,0.00,***,***,***,***,***,0.46,***,***,***,***,***,***,***,***,0.15,***,***,0.14,***,***,***,***,***,***,***,***,0.29,***,***
B:FABCO1D08:17,***,1.29,***,***,0.30,***,***,0.30,***,***,0.53,***,***,0.00,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,0.18,***,***,0.33,***,***,***,***,***,***,***,***,0.50,***,***
B:FABCO1D08:18,***,1.86,***,***,0.49,***,***,0.45,***,***,0.36,***,***,***,***,***,***,***,***,***,***,***,1.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:19,***,0.52,***,***,***,***,***,0.39,***,***,0.36,***,***,***,***,***,***,***,***,***,***,***,1.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,1.22,***,***,0.20,***,***,0.40,***,***,0.46,***,***,0.96,***,***,***,***,***,1.20,***,***,***,***,***,1.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,0.44,***,***,***,***,***,0.32,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:24,***,1.22,***,***,0.57,***,***,0.82,***,***,0.39,***,***,1.36,***,***,***,***,***,***,***,***,1.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:25,***,0.76,***,***,***,***,***,0.27,***,***,0.40,***,***,0.30,***,***,***,***,***,***,***,***,0.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:27,***,0.86,***,***,0.72,***,***,0.35,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:28,***,3.19,***,***,***,***,***,0.30,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:29,***,0.70,***,***,***,***,***,0.21,***,***,0.33,***,***,0.35,***,***,***,***,***,***,***,***,0.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:50,***,0.77,***,***,0.16,***,***,0.04,***,***,0.28,***,***,0.88,***,***,0.27,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,***,***,***,0.16,***,***,0.44,***,***,***,***,***
B:FABCO1D08:52,***,1.15,***,***,0.10,***,***,0.02,***,***,0.00,***,***,0.64,***,***,0.28,***,***,***,***,***,***,***,***,***,***,***,0.54,***,***,***,***,***,0.02,***,***,0.50,***,***,***,***,***
B:FABCO1D08:53,***,0.64,***,***,0.06,***,***,0.06,***,***,0.08,***,***,0.63,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,0.18,***,***,***,***,***,0.19,***,***,0.31,***,***,***,***,***
B:FABCO1D08:54,***,0.71,***,***,0.00,***,***,0.00,***,***,0.18,***,***,0.42,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,0.07,***,***,0.69,***,***,***,***,***
B:FABCO1D08:56,***,0.57,***,***,0.46,***,***,0.44,***,***,0.38,***,***,0.73,***,***,***,***,***,0.99,***,***,***,***,***,0.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:58,***,1.75,***,***,0.16,***,***,0.13,***,***,0.48,***,***,0.73,***,***,***,***,***,1.09,***,***,***,***,***,0.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:61,***,0.74,***,***,0.01,***,***,0.04,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:62,***,0.93,***,***,0.15,***,***,0.31,***,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.58,1.26,0.31,19.88,0.28,1.30,82.43,0.30,1.27,80.71,0.26,1.32,83.41,0.60,0.97,61.65,0.19,1.39,87.99,0.96,0.62,39.02,1.11,0.47,29.59,0.95,0.63,39.99,0.27,1.30,82.72,0.23,1.35,85.34,0.09,1.48,94.05,0.53,1.04,66.18,0.40,1.18,74.95
