ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,10.88,15.12,4.24,38.99,5.96,-4.92,-45.18,8.41,-2.47,-22.71,3.59,-7.29,-66.97,***,***,***,***,***,***,***,***,***,16.75,5.86,53.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,18.52,18.52,***,4.59,4.59,***,8.26,8.26,***,2.77,2.77,***,9.38,9.38,***,***,***,***,***,***,***,15.42,15.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,50.16,36.99,-13.18,-26.27,2.97,-47.19,-94.08,6.76,-43.40,-86.52,2.05,-48.12,-95.92,***,***,***,***,***,***,***,***,***,16.82,-33.34,-66.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,12.53,13.63,1.10,8.76,1.97,-10.56,-84.26,3.14,-9.38,-74.90,1.80,-10.73,-85.66,***,***,***,***,***,***,***,***,***,7.94,-4.59,-36.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,3.99,7.36,3.37,84.38,5.86,1.87,46.88,3.42,-0.57,-14.38,3.74,-0.25,-6.25,8.01,4.02,100.63,***,***,***,***,***,***,9.96,5.96,149.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,20.76,17.57,-3.19,-15.38,4.87,-15.90,-76.56,3.94,-16.82,-81.01,1.67,-19.09,-91.95,13.10,-7.66,-36.90,***,***,***,***,***,***,17.54,-3.22,-15.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,11.88,19.74,7.86,66.18,3.92,-7.96,-67.02,6.49,-5.39,-45.38,2.35,-9.53,-80.25,12.25,0.37,3.15,***,***,***,***,***,***,13.58,1.70,14.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,3.44,***,***,0.30,***,***,0.00,***,***,0.15,***,***,0.22,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,1.37,***,***,***,***,***,0.20,***,***,2.60,***,***,***,***,***
B:FABCO1D08:05,***,9.13,***,***,0.00,***,***,0.12,***,***,0.32,***,***,3.79,***,***,2.12,***,***,***,***,***,***,***,***,***,***,***,2.15,***,***,***,***,***,1.70,***,***,4.17,***,***,***,***,***
B:FABCO1D08:07,***,16.30,***,***,0.00,***,***,0.05,***,***,0.67,***,***,2.67,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,0.75,***,***,***,***,***,0.05,***,***,3.22,***,***,***,***,***
B:FABCO1D08:08,***,25.63,***,***,6.21,***,***,3.22,***,***,2.07,***,***,6.64,***,***,***,***,***,14.37,***,***,***,***,***,12.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,10.48,***,***,3.69,***,***,2.75,***,***,3.84,***,***,4.24,***,***,***,***,***,9.01,***,***,***,***,***,6.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:12,***,6.89,***,***,0.50,***,***,0.82,***,***,1.15,***,***,5.42,***,***,4.19,***,***,***,***,***,***,***,***,***,***,***,5.54,***,***,***,***,***,0.60,***,***,7.89,***,***,***,***,***
B:FABCO1D08:14,***,6.94,***,***,0.32,***,***,0.85,***,***,0.50,***,***,3.37,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,5.27,***,***,***,***,***,1.52,***,***,10.78,***,***,***,***,***
B:FABCO1D08:15,***,20.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,8.19,***,***,***,***,***,3.82,***,***,5.81,***,***,0.00,***,***,***,***,***,4.57,***,***,***,***,***,***,***,***,1.47,***,***,1.35,***,***,***,***,***,***,***,***,2.92,***,***
B:FABCO1D08:17,***,12.88,***,***,2.99,***,***,2.99,***,***,5.32,***,***,0.00,***,***,***,***,***,6.59,***,***,***,***,***,***,***,***,1.80,***,***,3.27,***,***,***,***,***,***,***,***,4.97,***,***
B:FABCO1D08:18,***,18.52,***,***,4.89,***,***,4.49,***,***,3.59,***,***,***,***,***,***,***,***,***,***,***,11.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:19,***,5.19,***,***,***,***,***,3.92,***,***,3.57,***,***,***,***,***,***,***,***,***,***,***,10.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:20,***,12.18,***,***,1.97,***,***,3.99,***,***,4.59,***,***,9.53,***,***,***,***,***,11.93,***,***,***,***,***,13.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:23,***,4.34,***,***,***,***,***,3.19,***,***,3.04,***,***,***,***,***,***,***,***,***,***,***,8.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
