ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,2.46,1.47,-0.99,-40.20,0.63,-1.84,-74.52,0.67,-1.79,-72.69,0.29,-2.18,-88.43,***,***,***,***,***,***,***,***,***,0.53,-1.93,-78.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,1.33,1.33,***,0.49,0.49,***,0.80,0.80,***,0.67,0.67,***,0.63,0.63,***,***,***,***,***,***,***,0.97,0.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,5.64,2.02,-3.62,-64.26,0.44,-5.20,-92.15,0.50,-5.14,-91.18,0.46,-5.18,-91.80,***,***,***,***,***,***,***,***,***,0.23,-5.41,-95.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,1.92,1.09,-0.82,-42.95,0.42,-1.49,-77.94,0.49,-1.42,-74.28,0.58,-1.33,-69.58,***,***,***,***,***,***,***,***,***,0.92,-1.00,-51.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,1.38,0.82,-0.56,-40.58,0.74,-0.64,-46.38,0.83,-0.56,-40.22,0.73,-0.65,-47.28,0.43,-0.95,-68.84,***,***,***,***,***,***,0.93,-0.45,-32.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,2.36,1.11,-1.25,-52.87,0.41,-1.95,-82.59,0.79,-1.57,-66.56,1.39,-0.97,-41.19,0.67,-1.69,-71.66,***,***,***,***,***,***,1.21,-1.15,-48.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,2.43,2.37,-0.06,-2.57,0.51,-1.93,-79.22,0.73,-1.70,-69.96,1.76,-0.68,-27.78,0.49,-1.94,-79.73,***,***,***,***,***,***,1.11,-1.33,-54.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,0.71,***,***,0.15,***,***,0.38,***,***,0.36,***,***,0.36,***,***,0.56,***,***,***,***,***,***,***,***,***,***,***,0.41,***,***,***,***,***,0.31,***,***,0.25,***,***,***,***,***
B:FABCO1D08:05,***,1.34,***,***,0.16,***,***,0.54,***,***,0.62,***,***,0.59,***,***,1.12,***,***,***,***,***,***,***,***,***,***,***,0.67,***,***,***,***,***,0.52,***,***,0.99,***,***,***,***,***
B:FABCO1D08:07,***,1.07,***,***,0.00,***,***,0.63,***,***,0.57,***,***,0.64,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***,0.35,***,***,***,***,***,0.18,***,***,0.40,***,***,***,***,***
