ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,12.29,7.35,-4.94,-40.20,3.13,-9.16,-74.52,3.36,-8.93,-72.69,1.42,-10.87,-88.43,***,***,***,***,***,***,***,***,***,2.65,-9.65,-78.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,6.61,6.61,***,2.42,2.42,***,3.98,3.98,***,3.32,3.32,***,3.12,3.12,***,***,***,***,***,***,***,4.82,4.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,28.14,10.06,-18.08,-64.26,2.21,-25.93,-92.15,2.48,-25.66,-91.18,2.31,-25.83,-91.80,***,***,***,***,***,***,***,***,***,1.14,-27.00,-95.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,9.56,5.45,-4.11,-42.95,2.11,-7.45,-77.94,2.46,-7.10,-74.28,2.91,-6.65,-69.58,***,***,***,***,***,***,***,***,***,4.59,-4.97,-51.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,6.89,4.09,-2.80,-40.58,3.69,-3.19,-46.38,4.12,-2.77,-40.22,3.63,-3.26,-47.28,2.15,-4.74,-68.84,***,***,***,***,***,***,4.63,-2.26,-32.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,11.75,5.54,-6.21,-52.87,2.05,-9.71,-82.59,3.93,-7.82,-66.56,6.91,-4.84,-41.19,3.33,-8.42,-71.66,***,***,***,***,***,***,6.03,-5.73,-48.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,12.13,11.82,-0.31,-2.57,2.52,-9.61,-79.22,3.64,-8.49,-69.96,8.76,-3.37,-27.78,2.46,-9.67,-79.73,***,***,***,***,***,***,5.52,-6.61,-54.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,3.52,***,***,0.74,***,***,1.91,***,***,1.80,***,***,1.81,***,***,2.77,***,***,***,***,***,***,***,***,***,***,***,2.03,***,***,***,***,***,1.55,***,***,1.25,***,***,***,***,***
B:FABCO1D08:05,***,6.66,***,***,0.81,***,***,2.67,***,***,3.07,***,***,2.93,***,***,5.60,***,***,***,***,***,***,***,***,***,***,***,3.34,***,***,***,***,***,2.58,***,***,4.92,***,***,***,***,***
B:FABCO1D08:07,***,5.33,***,***,0.00,***,***,3.13,***,***,2.82,***,***,3.21,***,***,4.65,***,***,***,***,***,***,***,***,***,***,***,1.72,***,***,***,***,***,0.91,***,***,2.01,***,***,***,***,***
