ProjectUnit = FABCO1D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Yr09-Attr,01Yr09-Diff,01Yr09-%Diff,01Yr10-Attr,01Yr10-Diff,01Yr10-%Diff,01Yr17-Attr,01Yr17-Diff,01Yr17-%Diff,01Yr20-Attr,01Yr20-Diff,01Yr20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Yr01-Attr,02Yr01-Diff,02Yr01-%Diff,02Yr03-Attr,02Yr03-Diff,02Yr03-%Diff,02Yr06-Attr,02Yr06-Diff,02Yr06-%Diff,02Yr02-Attr,02Yr02-Diff,02Yr02-%Diff
B:FABCO1D08:06,47.82,30.91,-16.90,-35.35,14.62,-33.20,-69.43,17.39,-30.43,-63.63,10.29,-37.53,-78.49,***,***,***,***,***,***,***,***,***,29.00,-18.82,-39.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:10,0.00,28.90,28.90,***,7.71,7.71,***,14.74,14.74,***,10.25,10.25,***,14.37,14.37,***,***,***,***,***,***,***,52.19,52.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:11,174.56,119.20,-55.35,-31.71,16.82,-157.74,-90.37,58.49,-116.07,-66.50,36.22,-138.34,-79.25,***,***,***,***,***,***,***,***,***,63.14,-111.42,-63.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:13,42.19,30.00,-12.19,-28.89,7.54,-34.66,-82.13,10.46,-31.73,-75.21,10.31,-31.89,-75.57,***,***,***,***,***,***,***,***,***,65.96,23.77,56.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:21,20.68,21.67,0.99,4.77,14.99,-5.69,-27.54,12.46,-8.22,-39.74,15.06,-5.62,-27.16,27.50,6.82,32.96,***,***,***,***,***,***,66.81,46.13,223.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:22,35.55,26.52,-9.03,-25.40,9.71,-25.84,-72.70,11.43,-24.12,-67.85,11.58,-23.97,-67.42,21.05,-14.50,-40.79,***,***,***,***,***,***,34.65,-0.90,-2.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:26,30.20,38.29,8.10,26.82,9.08,-21.11,-69.92,13.65,-16.55,-54.80,13.55,-16.64,-55.11,20.69,-9.50,-31.47,***,***,***,***,***,***,43.72,13.52,44.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:04,***,21.87,***,***,1.16,***,***,2.41,***,***,2.23,***,***,2.75,***,***,5.43,***,***,***,***,***,***,***,***,***,***,***,5.11,***,***,***,***,***,9.18,***,***,14.62,***,***,***,***,***
B:FABCO1D08:05,***,59.94,***,***,28.73,***,***,36.62,***,***,37.27,***,***,43.79,***,***,32.99,***,***,***,***,***,***,***,***,***,***,***,19.61,***,***,***,***,***,27.15,***,***,48.28,***,***,***,***,***
B:FABCO1D08:07,***,95.39,***,***,50.03,***,***,50.30,***,***,53.05,***,***,69.82,***,***,129.07,***,***,***,***,***,***,***,***,***,***,***,59.88,***,***,***,***,***,76.13,***,***,86.15,***,***,***,***,***
B:FABCO1D08:08,***,48.58,***,***,18.88,***,***,12.71,***,***,13.73,***,***,20.37,***,***,***,***,***,43.47,***,***,***,***,***,34.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:09,***,17.51,***,***,8.85,***,***,7.65,***,***,10.08,***,***,10.87,***,***,***,***,***,34.86,***,***,***,***,***,44.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:12,***,18.36,***,***,4.47,***,***,5.58,***,***,5.64,***,***,11.88,***,***,31.41,***,***,***,***,***,***,***,***,***,***,***,17.24,***,***,***,***,***,13.00,***,***,20.85,***,***,***,***,***
B:FABCO1D08:14,***,38.54,***,***,6.23,***,***,7.36,***,***,12.82,***,***,11.37,***,***,14.54,***,***,***,***,***,***,***,***,***,***,***,18.33,***,***,***,***,***,10.89,***,***,23.43,***,***,***,***,***
B:FABCO1D08:15,***,33.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABCO1D08:16,***,40.57,***,***,***,***,***,19.52,***,***,24.77,***,***,29.48,***,***,***,***,***,40.13,***,***,***,***,***,***,***,***,9.50,***,***,13.70,***,***,***,***,***,***,***,***,16.42,***,***
