ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,1.52,0.61,-0.91,-60.11,***,***,***,2.73,1.21,79.78,2.44,0.92,60.50,***,***,***
B:FABMA1D08:07,0.30,0.30,0.00,0.00,***,***,***,0.61,0.30,100.00,0.91,0.61,201.87,***,***,***
B:FABMA1D08:01,***,3.44,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FABMA1D08:02,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,2.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,1.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,1.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,4.86,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
B:FABMA1D08:60,***,3.64,***,***,0.30,***,***,0.30,***,***,***,***,***,0.00,***,***
Mean,0.91,2.21,-1.30,-142.97,0.10,0.81,88.89,0.73,0.18,20.09,1.68,-0.76,-84.03,0.00,0.91,100.00
