ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,7.38,13.98,6.60,89.43,***,***,***,18.16,10.78,145.99,21.70,14.31,193.90,***,***,***
B:FABMA1D08:07,6.73,9.36,2.63,39.08,***,***,***,4.75,-1.98,-29.48,26.73,20.00,297.00,***,***,***
B:FABMA1D08:01,***,6.11,***,***,5.79,***,***,0.00,***,***,***,***,***,2.96,***,***
B:FABMA1D08:02,***,30.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,7.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,1.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,0.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,13.30,***,***,21.47,***,***,0.00,***,***,***,***,***,17.95,***,***
B:FABMA1D08:60,***,0.00,***,***,0.31,***,***,0.00,***,***,***,***,***,0.31,***,***
Mean,7.06,9.29,-2.23,-31.62,9.19,-2.13,-30.25,4.58,2.48,35.08,24.21,-17.16,-243.08,7.07,-0.01,-0.20
