ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,13.46,6.36,-7.10,-52.73,***,***,***,8.52,-4.94,-36.68,18.63,5.17,38.37,***,***,***
B:FABMA1D08:07,0.48,8.63,8.16,1711.11,***,***,***,0.36,-0.12,-24.89,4.43,3.96,830.11,***,***,***
B:FABMA1D08:01,***,7.56,***,***,0.00,***,***,0.00,***,***,***,***,***,0.29,***,***
B:FABMA1D08:02,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,48.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,4.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,1.21,***,***,10.80,***,***,10.80,***,***,***,***,***,11.83,***,***
B:FABMA1D08:60,***,10.16,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***
Mean,6.97,9.68,-2.71,-38.95,3.60,3.37,48.33,3.94,3.03,43.51,11.53,-4.56,-65.45,4.04,2.93,42.04
