ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,0.50,0.45,-0.06,-11.44,***,***,***,0.49,-0.01,-1.99,0.80,0.30,59.70,***,***,***
B:FABMA1D08:07,0.52,1.15,0.63,120.67,***,***,***,0.53,0.01,1.44,1.02,0.50,96.15,***,***,***
B:FABMA1D08:01,***,1.39,***,***,0.14,***,***,0.22,***,***,***,***,***,0.15,***,***
B:FABMA1D08:02,***,0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,1.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,0.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,0.30,***,***,0.06,***,***,0.08,***,***,***,***,***,0.05,***,***
B:FABMA1D08:60,***,0.71,***,***,0.15,***,***,0.18,***,***,***,***,***,0.10,***,***
Mean,0.51,0.78,-0.27,-51.86,0.12,0.39,77.18,0.30,0.21,41.32,0.91,-0.40,-78.24,0.10,0.41,80.60
