ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,5.02,4.44,-0.57,-11.44,***,***,***,4.92,-0.10,-1.99,8.01,2.99,59.70,***,***,***
B:FABMA1D08:07,5.19,11.45,6.26,120.67,***,***,***,5.27,0.07,1.44,10.18,4.99,96.15,***,***,***
B:FABMA1D08:01,***,13.83,***,***,1.37,***,***,2.22,***,***,***,***,***,1.47,***,***
B:FABMA1D08:02,***,9.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,6.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,9.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,3.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,3.02,***,***,0.62,***,***,0.80,***,***,***,***,***,0.47,***,***
B:FABMA1D08:60,***,7.09,***,***,1.50,***,***,1.77,***,***,***,***,***,1.02,***,***
Mean,5.10,7.75,-2.65,-51.86,1.16,3.94,77.18,2.99,2.11,41.32,9.10,-3.99,-78.24,0.99,4.11,80.60
