ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,0.52,0.52,0.01,0.97,***,***,***,0.65,0.13,25.73,0.47,-0.05,-9.71,***,***,***
B:FABMA1D08:07,0.60,0.77,0.18,29.29,***,***,***,1.01,0.41,68.20,0.62,0.02,3.77,***,***,***
B:FABMA1D08:01,***,0.08,***,***,0.52,***,***,0.48,***,***,***,***,***,0.04,***,***
B:FABMA1D08:02,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,0.45,***,***,0.21,***,***,0.16,***,***,***,***,***,0.00,***,***
B:FABMA1D08:60,***,0.20,***,***,0.25,***,***,0.69,***,***,***,***,***,0.03,***,***
Mean,0.56,0.54,0.02,3.57,0.33,0.23,41.57,0.60,-0.04,-7.33,0.54,0.01,2.47,0.02,0.54,96.25
