ProjectUnit = FABMA1D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pro1-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Yr01-Attr,01Yr01-Diff,01Yr01-%Diff,01Yr02-Attr,01Yr02-Diff,01Yr02-%Diff,01Yr05-Attr,01Yr05-Diff,01Yr05-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff
B:FABMA1D08:06,31.18,29.51,-1.67,-5.35,***,***,***,38.52,7.35,23.57,54.55,23.38,74.98,***,***,***
B:FABMA1D08:07,19.01,34.91,15.90,83.63,***,***,***,16.67,-2.34,-12.29,46.64,27.63,145.31,***,***,***
B:FABMA1D08:01,***,33.61,***,***,9.97,***,***,5.92,***,***,***,***,***,5.14,***,***
B:FABMA1D08:02,***,48.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:03,***,22.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:04,***,66.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:05,***,16.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***
B:FABMA1D08:08,***,26.53,***,***,33.97,***,***,12.53,***,***,***,***,***,30.26,***,***
B:FABMA1D08:60,***,28.48,***,***,3.92,***,***,7.34,***,***,***,***,***,1.55,***,***
Mean,25.09,34.06,-8.96,-35.72,15.95,9.14,36.42,16.20,8.90,35.46,50.60,-25.50,-101.62,12.31,12.78,50.93
