ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,0.64,0.64,0.00,-0.09,***,***,***,2.20,1.56,245.27,1.56,0.93,145.71,0.94,0.30,47.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,-0.32,-50.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,0.91,0.61,-0.30,-33.20,***,***,***,0.30,-0.61,-66.80,0.61,-0.30,-33.16,0.61,-0.31,-33.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,0.00,0.04,1.53,0.62,67.50,***,***,***,0.31,-0.61,-66.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,0.92,0.31,-0.62,-66.78,***,***,***,0.92,0.00,0.00,0.00,-0.92,-100.00,1.85,0.92,100.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.92,0.00,-0.17,0.92,0.00,-0.34,***,***,***,0.92,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,3.33,0.61,-2.72,-81.73,***,***,***,0.00,-3.33,-100.00,0.31,-3.02,-90.76,0.00,-3.33,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-3.33,-100.00,0.62,-2.71,-81.45,***,***,***,0.61,-2.72,-81.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,0.93,0.30,-0.63,-67.39,0.30,-0.63,-67.42,***,***,***,***,***,***,0.30,-0.63,-67.42,***,***,***,***,***,***,***,***,***,***,***,***,0.95,0.02,2.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,2.76,0.62,-2.14,-77.53,0.62,-2.14,-77.42,***,***,***,***,***,***,1.55,-1.21,-43.98,1.22,-1.54,-55.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,0.65,***,***,***,***,***,***,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,0.00,***,***
FQUGA1D0902,***,2.44,***,***,0.61,***,***,1.21,***,***,0.92,***,***,***,***,***,***,***,***,1.22,***,***,1.23,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,0.61,***,***,***,***,***,1.53,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,1.82,***,***,0.00,***,***
FQUGA1D0903,***,1.88,***,***,***,***,***,0.32,***,***,0.32,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.92,***,***,0.63,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,0.62,***,***,***,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***,0.31,***,***,0.30,***,***,1.23,***,***,***,***,***,***,***,***,0.30,***,***,0.00,***,***,***,***,***,0.62,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.31,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0905,***,0.00,***,***,***,***,***,0.62,***,***,0.00,***,***,0.62,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,2.18,***,***,***,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,1.23,***,***,***,***,***,0.31,***,***,0.00,***,***,1.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0908,***,0.00,***,***,0.00,***,***,0.61,***,***,1.53,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,0.61,***,***,0.91,***,***,***,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0911,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.62,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.31,***,***,***,***,***,1.23,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***,1.82,***,***,0.00,***,***
FQUGA1D0912,***,0.62,***,***,***,***,***,0.00,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,1.84,***,***,***,***,***,0.61,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,0.00,***,***,***,***,***,0.92,***,***,0.32,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.94,***,***,0.00,***,***,***,***,***,0.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,4.30,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.22,***,***,0.31,***,***
FQUGA1D0919,***,2.46,***,***,1.57,***,***,0.61,***,***,0.61,***,***,***,***,***,***,***,***,0.92,***,***,1.23,***,***,0.93,***,***,***,***,***,***,***,***,0.30,***,***,0.61,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,0.92,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0920,***,2.14,***,***,0.61,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.31,***,***,0.31,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,1.86,***,***,0.92,***,***,0.00,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.85,***,***,0.64,***,***,***,***,***,0.30,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.94,***,***,0.61,***,***,0.33,***,***
FQUGA1D0924,***,0.30,***,***,0.97,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.90,***,***,***,***,***,***,***,***,1.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.93,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,0.93,***,***,0.61,***,***,0.92,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,0.62,***,***,***,***,***,***,***,***,0.93,***,***,***,***,***,0.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***
