ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,4.28,0.00,-4.28,-100.00,***,***,***,0.38,-3.90,-91.12,0.23,-4.04,-94.51,1.39,-2.89,-67.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.25,-4.03,-94.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,0.24,1.16,0.92,384.38,***,***,***,0.00,-0.24,-100.00,0.00,-0.24,-100.00,0.45,0.21,89.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.86,0.62,260.95,1.40,1.16,483.62,***,***,***,0.00,-0.24,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,1.12,2.39,1.27,112.90,***,***,***,1.06,-0.07,-5.93,0.95,-0.17,-15.12,0.00,-1.12,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.79,0.66,58.73,0.00,-1.12,-100.00,***,***,***,2.96,1.83,163.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,2.10,1.01,-1.09,-51.89,***,***,***,0.58,-1.52,-72.49,0.27,-1.82,-86.96,0.29,-1.81,-86.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.66,-0.44,-21.05,0.70,-1.40,-66.56,***,***,***,0.00,-2.10,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,0.00,0.70,0.70,***,0.35,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.60,1.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,1.99,3.22,1.23,61.92,0.62,-1.38,-69.09,***,***,***,***,***,***,2.63,0.64,31.98,21.54,19.55,982.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,0.31,***,***,***,***,***,***,***,***,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.46,***,***,3.96,***,***
FQUGA1D0902,***,1.12,***,***,2.50,***,***,1.12,***,***,2.08,***,***,***,***,***,***,***,***,1.90,***,***,6.63,***,***,***,***,***,***,***,***,***,***,***,1.38,***,***,3.67,***,***,***,***,***,4.59,***,***,4.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.02,***,***,0.00,***,***,0.00,***,***
FQUGA1D0903,***,1.08,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.31,***,***,***,***,***,***,***,***,1.77,***,***,0.63,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,2.74,***,***,0.56,***,***,0.93,***,***,***,***,***,***,***,***
FQUGA1D0905,***,3.92,***,***,***,***,***,3.64,***,***,0.48,***,***,4.17,***,***,***,***,***,3.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.46,***,***,0.00,***,***,***,***,***,2.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,8.25,***,***,***,***,***,1.15,***,***,0.30,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0908,***,0.00,***,***,0.00,***,***,0.00,***,***,1.13,***,***,***,***,***,***,***,***,0.89,***,***,***,***,***,1.45,***,***,***,***,***,***,***,***,1.60,***,***,0.85,***,***,***,***,***,***,***,***,0.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0911,***,0.78,***,***,3.91,***,***,4.76,***,***,5.60,***,***,***,***,***,***,***,***,3.40,***,***,4.28,***,***,***,***,***,***,***,***,***,***,***,8.35,***,***,4.55,***,***,***,***,***,4.73,***,***,4.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.08,***,***,3.95,***,***,0.00,***,***
FQUGA1D0912,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,6.78,***,***,***,***,***,0.00,***,***,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,1.56,***,***,***,***,***,1.20,***,***,1.25,***,***,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,***,***,1.63,***,***,***,***,***,1.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,0.98,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,25.13,***,***
FQUGA1D0919,***,1.23,***,***,0.93,***,***,0.59,***,***,1.41,***,***,***,***,***,***,***,***,0.42,***,***,1.06,***,***,1.24,***,***,***,***,***,***,***,***,1.92,***,***,0.35,***,***,***,***,***,4.93,***,***,***,***,***,***,***,***,***,***,***,5.27,***,***,1.83,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0920,***,1.61,***,***,0.41,***,***,1.15,***,***,0.21,***,***,***,***,***,***,***,***,0.00,***,***,0.50,***,***,0.27,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.90,***,***,***,***,***,***,***,***,12.07,***,***,***,***,***,15.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,8.84,***,***,0.51,***,***,0.00,***,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.64,***,***,***,***,***,0.89,***,***,4.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.78,***,***,0.00,***,***,2.05,***,***
FQUGA1D0924,***,0.41,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,0.00,***,***,1.16,***,***,1.72,***,***,1.40,***,***,***,***,***,***,***,***,***,***,***,1.13,***,***,0.00,***,***,***,***,***,***,***,***,0.63,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,9.40,***,***,***,***,***,28.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0926,***,1.41,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0927,***,0.00,***,***,***,***,***,***,***,***,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0918,***,***,***,***,***,***,***,***,***,***,1.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.07,***,***,2.35,***,***
Mean,1.62,1.87,-0.25,-15.38,0.94,0.68,41.79,0.91,0.71,43.73,0.85,0.77,47.50,1.12,0.51,31.14,21.54,-19.92,-1228.39,1.28,0.34,21.10,1.94,-0.32,-19.83,0.47,1.15,71.15,1.60,0.03,1.65,3.93,-2.31,-142.51,1.89,-0.27,-16.75,1.11,0.51,31.63,2.07,-0.45,-27.85,2.01,-0.38,-23.70,3.52,-1.90,-117.26,7.16,-5.53,-341.18,0.00,1.62,100.00,8.75,-7.13,-439.56,1.20,0.42,26.18,1.76,-0.14,-8.68,2.08,-0.46,-28.27,5.58,-3.96,-244.18
