ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,0.41,0.97,0.56,135.76,***,***,***,0.77,0.36,86.06,0.80,0.39,94.55,1.27,0.86,207.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,0.04,8.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,0.69,0.87,0.18,25.82,***,***,***,1.17,0.48,69.82,0.94,0.26,37.09,0.81,0.12,17.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.69,-100.00,0.00,-0.69,-100.00,***,***,***,0.00,-0.69,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,0.50,0.41,-0.09,-17.59,***,***,***,0.51,0.01,2.01,0.28,-0.22,-44.22,0.42,-0.07,-14.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.50,-99.50,0.04,-0.46,-92.46,***,***,***,0.00,-0.50,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,0.73,0.85,0.13,17.24,***,***,***,0.98,0.26,35.52,0.66,-0.06,-8.62,0.60,-0.13,-17.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.70,-96.90,0.01,-0.72,-99.31,***,***,***,0.00,-0.73,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,0.27,1.03,0.77,289.62,0.49,0.22,83.02,***,***,***,***,***,***,0.33,0.06,23.58,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-0.25,-92.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,1.01,1.05,0.04,3.71,0.28,-0.73,-72.52,***,***,***,***,***,***,0.50,-0.51,-50.50,0.13,-0.88,-87.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,0.58,***,***,***,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.09,***,***
FQUGA1D0902,***,0.84,***,***,0.57,***,***,0.31,***,***,0.62,***,***,***,***,***,***,***,***,0.32,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,0.56,***,***,0.71,***,***,***,***,***,0.43,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,0.00,***,***,0.00,***,***
FQUGA1D0903,***,0.50,***,***,***,***,***,0.79,***,***,0.69,***,***,0.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,0.01,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,0.62,***,***,***,***,***,0.68,***,***,0.95,***,***,***,***,***,***,***,***,0.71,***,***,1.02,***,***,0.37,***,***,***,***,***,***,***,***,0.31,***,***,0.41,***,***,***,***,***,0.50,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.25,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0905,***,1.03,***,***,***,***,***,0.71,***,***,0.89,***,***,1.23,***,***,***,***,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,0.44,***,***,***,***,***,0.34,***,***,0.37,***,***,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0908,***,0.93,***,***,0.86,***,***,0.28,***,***,0.46,***,***,***,***,***,***,***,***,0.86,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,1.34,***,***,0.30,***,***,***,***,***,***,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0911,***,0.60,***,***,0.60,***,***,0.31,***,***,0.35,***,***,***,***,***,***,***,***,0.14,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***,0.45,***,***,***,***,***,0.13,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***
FQUGA1D0912,***,0.80,***,***,***,***,***,0.26,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,0.69,***,***,***,***,***,0.33,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,0.61,***,***,***,***,***,0.84,***,***,1.15,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,0.56,***,***,***,***,***,***,***,***,0.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.05,***,***
FQUGA1D0919,***,0.67,***,***,0.11,***,***,0.11,***,***,0.24,***,***,***,***,***,***,***,***,0.17,***,***,0.06,***,***,0.16,***,***,***,***,***,***,***,***,0.22,***,***,0.45,***,***,***,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.18,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0920,***,0.61,***,***,0.72,***,***,0.39,***,***,0.03,***,***,***,***,***,***,***,***,0.16,***,***,0.27,***,***,0.23,***,***,***,***,***,***,***,***,0.44,***,***,***,***,***,0.49,***,***,***,***,***,***,***,***,0.06,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0922,***,0.16,***,***,0.02,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.13,***,***,***,***,***,0.05,***,***,0.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***
FQUGA1D0924,***,0.18,***,***,0.33,***,***,***,***,***,0.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***,***,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,0.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0925,***,0.55,***,***,0.88,***,***,0.82,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,0.08,***,***,***,***,***,***,***,***,0.33,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,0.05,***,***,***,***,***,0.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0926,***,0.11,***,***,0.46,***,***,0.26,***,***,0.00,***,***,***,***,***,***,***,***,0.13,***,***,0.30,***,***,0.11,***,***,***,***,***,***,***,***,0.33,***,***,0.11,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0927,***,0.09,***,***,***,***,***,***,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0918,***,***,***,***,***,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.07,***,***
Mean,0.60,0.63,-0.03,-4.97,0.48,0.12,19.68,0.52,0.08,13.60,0.42,0.18,29.26,0.73,-0.13,-22.01,0.13,0.47,78.32,0.34,0.26,43.97,0.26,0.34,56.87,0.21,0.39,65.45,0.02,0.58,96.66,0.54,0.06,9.62,0.28,0.32,53.48,0.20,0.40,66.58,0.34,0.26,43.29,0.14,0.46,77.29,0.19,0.41,68.10,0.04,0.56,93.05,0.00,0.60,100.00,0.08,0.52,86.31,0.21,0.39,64.98,0.01,0.59,98.57,0.00,0.60,100.00,0.04,0.56,94.16
