ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,4.12,9.71,5.59,135.76,***,***,***,7.66,3.54,86.06,8.01,3.89,94.55,12.68,8.56,207.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.47,0.35,8.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,6.86,8.63,1.77,25.82,***,***,***,11.65,4.79,69.82,9.41,2.55,37.09,8.09,1.22,17.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-6.86,-100.00,0.00,-6.86,-100.00,***,***,***,0.00,-6.86,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,4.97,4.09,-0.87,-17.59,***,***,***,5.07,0.10,2.01,2.77,-2.20,-44.22,4.22,-0.74,-14.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.02,-4.94,-99.50,0.37,-4.59,-92.46,***,***,***,0.00,-4.97,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,7.24,8.49,1.25,17.24,***,***,***,9.81,2.57,35.52,6.61,-0.62,-8.62,5.94,-1.30,-17.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,-7.01,-96.90,0.05,-7.19,-99.31,***,***,***,0.00,-7.24,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,2.65,10.31,7.66,289.62,4.84,2.20,83.02,***,***,***,***,***,***,3.27,0.62,23.58,***,***,***,***,***,***,***,***,***,***,***,***,0.20,-2.45,-92.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,10.08,10.46,0.37,3.71,2.77,-7.31,-72.52,***,***,***,***,***,***,4.99,-5.09,-50.50,1.30,-8.78,-87.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,5.81,***,***,***,***,***,***,***,***,0.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.92,***,***
FQUGA1D0902,***,8.36,***,***,5.71,***,***,3.07,***,***,6.16,***,***,***,***,***,***,***,***,3.22,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,5.54,***,***,7.06,***,***,***,***,***,4.27,***,***,3.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,0.00,***,***,0.00,***,***
FQUGA1D0903,***,4.99,***,***,***,***,***,7.86,***,***,6.84,***,***,8.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,***,***,0.05,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,6.19,***,***,***,***,***,6.81,***,***,9.43,***,***,***,***,***,***,***,***,7.06,***,***,10.18,***,***,3.69,***,***,***,***,***,***,***,***,3.04,***,***,4.04,***,***,***,***,***,4.99,***,***,***,***,***,***,***,***,***,***,***,2.00,***,***,2.45,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0905,***,10.23,***,***,***,***,***,7.04,***,***,8.88,***,***,12.30,***,***,***,***,***,2.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,4.34,***,***,***,***,***,3.37,***,***,3.69,***,***,5.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
