ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,1.20,1.39,0.19,15.83,***,***,***,1.10,-0.10,-8.54,0.27,-0.93,-77.71,1.00,-0.20,-16.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,-0.98,-81.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,1.40,1.13,-0.28,-19.79,***,***,***,0.86,-0.54,-38.50,0.47,-0.93,-66.31,0.73,-0.67,-47.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.35,-1.06,-75.22,0.46,-0.94,-67.02,***,***,***,0.00,-1.40,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,1.06,0.84,-0.22,-20.71,***,***,***,0.58,-0.48,-45.56,0.02,-1.04,-98.34,1.10,0.04,3.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,-0.78,-73.49,0.42,-0.63,-60.00,***,***,***,0.00,-1.06,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,2.03,1.33,-0.70,-34.40,***,***,***,1.00,-1.03,-50.92,0.81,-1.22,-60.05,1.29,-0.74,-36.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,-1.79,-88.16,0.37,-1.66,-82.00,***,***,***,0.00,-2.03,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,1.39,0.10,-1.29,-92.61,0.40,-0.99,-71.53,***,***,***,***,***,***,1.02,-0.37,-26.85,***,***,***,***,***,***,***,***,***,***,***,***,0.48,-0.91,-65.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,2.30,0.03,-2.27,-98.80,0.01,-2.29,-99.46,***,***,***,***,***,***,0.73,-1.58,-68.48,0.69,-1.61,-69.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,1.38,***,***,***,***,***,***,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,1.16,***,***
FQUGA1D0902,***,1.13,***,***,0.19,***,***,1.02,***,***,0.71,***,***,***,***,***,***,***,***,0.36,***,***,0.94,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,0.71,***,***,***,***,***,0.08,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,***,***,0.26,***,***,0.00,***,***
FQUGA1D0903,***,1.04,***,***,***,***,***,0.80,***,***,1.56,***,***,1.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,0.27,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,1.69,***,***,***,***,***,1.77,***,***,1.47,***,***,***,***,***,***,***,***,0.40,***,***,0.40,***,***,0.94,***,***,***,***,***,***,***,***,0.04,***,***,0.96,***,***,***,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,0.72,***,***,1.07,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0905,***,1.24,***,***,***,***,***,0.73,***,***,0.13,***,***,0.80,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.24,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,1.47,***,***,***,***,***,0.35,***,***,0.58,***,***,0.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0908,***,1.70,***,***,0.50,***,***,0.29,***,***,0.62,***,***,***,***,***,***,***,***,0.26,***,***,***,***,***,0.89,***,***,***,***,***,***,***,***,0.82,***,***,1.14,***,***,***,***,***,***,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0911,***,1.95,***,***,0.78,***,***,0.84,***,***,0.66,***,***,***,***,***,***,***,***,0.34,***,***,0.48,***,***,***,***,***,***,***,***,***,***,***,0.17,***,***,0.36,***,***,***,***,***,0.10,***,***,0.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,0.22,***,***,0.00,***,***
FQUGA1D0912,***,1.89,***,***,***,***,***,0.38,***,***,0.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0913,***,2.34,***,***,***,***,***,0.65,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0914,***,0.83,***,***,***,***,***,0.89,***,***,0.48,***,***,1.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.26,***,***,0.29,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0917,***,1.62,***,***,***,***,***,***,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,0.73,***,***
FQUGA1D0919,***,2.16,***,***,0.29,***,***,1.01,***,***,0.78,***,***,***,***,***,***,***,***,0.17,***,***,0.15,***,***,0.06,***,***,***,***,***,***,***,***,0.15,***,***,1.06,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,0.36,***,***,0.78,***,***,0.00,***,***,***,***,***,***,***,***
