ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,5.99,6.94,0.95,15.83,***,***,***,5.48,-0.51,-8.54,1.34,-4.65,-77.71,4.98,-1.01,-16.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.11,-4.88,-81.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,7.00,5.62,-1.39,-19.79,***,***,***,4.30,-2.70,-38.50,2.36,-4.64,-66.31,3.66,-3.34,-47.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.73,-5.27,-75.22,2.31,-4.69,-67.02,***,***,***,0.00,-7.00,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,5.27,4.18,-1.09,-20.71,***,***,***,2.87,-2.40,-45.56,0.09,-5.18,-98.34,5.48,0.21,3.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.40,-3.87,-73.49,2.11,-3.16,-60.00,***,***,***,0.00,-5.27,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,10.12,6.64,-3.48,-34.40,***,***,***,4.97,-5.15,-50.92,4.04,-6.08,-60.05,6.44,-3.68,-36.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.20,-8.92,-88.16,1.82,-8.30,-82.00,***,***,***,0.00,-10.12,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,6.93,0.51,-6.41,-92.61,1.97,-4.95,-71.53,***,***,***,***,***,***,5.07,-1.86,-26.85,***,***,***,***,***,***,***,***,***,***,***,***,2.37,-4.55,-65.77,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,11.48,0.14,-11.34,-98.80,0.06,-11.42,-99.46,***,***,***,***,***,***,3.62,-7.86,-68.48,3.46,-8.02,-69.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,6.86,***,***,***,***,***,***,***,***,1.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,***,***,5.79,***,***
FQUGA1D0902,***,5.62,***,***,0.94,***,***,5.07,***,***,3.56,***,***,***,***,***,***,***,***,1.78,***,***,4.70,***,***,***,***,***,***,***,***,***,***,***,1.32,***,***,3.56,***,***,***,***,***,0.37,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.38,***,***,1.31,***,***,0.00,***,***
FQUGA1D0903,***,5.17,***,***,***,***,***,3.97,***,***,7.77,***,***,5.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.77,***,***,1.36,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,8.44,***,***,***,***,***,8.83,***,***,7.35,***,***,***,***,***,***,***,***,1.97,***,***,1.98,***,***,4.70,***,***,***,***,***,***,***,***,0.17,***,***,4.79,***,***,***,***,***,2.55,***,***,***,***,***,***,***,***,***,***,***,3.61,***,***,5.35,***,***,0.00,***,***,***,***,***,***,***,***
FQUGA1D0905,***,6.16,***,***,***,***,***,3.63,***,***,0.65,***,***,3.98,***,***,***,***,***,3.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.01,***,***,1.17,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,7.34,***,***,***,***,***,1.76,***,***,2.89,***,***,3.36,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0908,***,8.46,***,***,2.48,***,***,1.42,***,***,3.07,***,***,***,***,***,***,***,***,1.31,***,***,***,***,***,4.42,***,***,***,***,***,***,***,***,4.07,***,***,5.69,***,***,***,***,***,***,***,***,2.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
