ProjectUnit = FQUGA1D09
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR10-Attr,01YR10-Diff,01YR10-%Diff,02POST-Attr,02POST-Diff,02POST-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,03POST-Attr,03POST-Diff,03POST-%Diff,03YR02-Attr,03YR02-Diff,03YR02-%Diff,03YR05-Attr,03YR05-Diff,03YR05-%Diff,04POST-Attr,04POST-Diff,04POST-%Diff,04YR02-Attr,04YR02-Diff,04YR02-%Diff,04YR05-Attr,04YR05-Diff,04YR05-%Diff,05POST-Attr,05POST-Diff,05POST-%Diff,05YR02-Attr,05YR02-Diff,05YR02-%Diff,05YR05-Attr,05YR05-Diff,05YR05-%Diff,06POST-Attr,06POST-Diff,06POST-%Diff,06YR02-Attr,06YR02-Diff,06YR02-%Diff,06YR05-Attr,06YR05-Diff,06YR05-%Diff
FQUGA1D0906,17.50,18.48,0.99,5.63,***,***,***,16.59,-0.91,-5.19,11.67,-5.83,-33.30,21.01,3.51,20.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.54,-9.96,-56.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0910,15.42,16.42,1.00,6.49,***,***,***,16.53,1.11,7.18,12.65,-2.77,-17.97,13.08,-2.34,-15.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.91,-11.52,-74.66,6.12,-9.30,-60.30,***,***,***,1.43,-13.99,-90.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0915,13.57,11.54,-2.04,-15.01,***,***,***,12.68,-0.89,-6.55,4.32,-9.25,-68.15,12.35,-1.22,-9.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.63,-8.95,-65.91,8.44,-5.13,-37.80,***,***,***,6.11,-7.46,-54.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0916,24.61,17.18,-7.43,-30.20,***,***,***,16.14,-8.47,-34.41,12.31,-12.30,-49.97,13.04,-11.56,-46.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.77,-20.83,-84.66,3.99,-20.62,-83.79,***,***,***,1.47,-23.14,-94.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0921,11.41,12.64,1.23,10.79,8.33,-3.08,-27.03,***,***,***,***,***,***,9.69,-1.72,-15.05,***,***,***,***,***,***,***,***,***,***,***,***,5.48,-5.93,-51.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0923,29.07,16.86,-12.20,-41.98,4.81,-24.26,-83.45,***,***,***,***,***,***,15.18,-13.89,-47.78,27.71,-1.36,-4.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0901,***,14.20,***,***,***,***,***,***,***,***,5.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.44,***,***,13.59,***,***
FQUGA1D0902,***,19.58,***,***,10.92,***,***,11.26,***,***,13.60,***,***,***,***,***,***,***,***,9.35,***,***,14.43,***,***,***,***,***,***,***,***,***,***,***,9.61,***,***,15.47,***,***,***,***,***,11.40,***,***,11.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.86,***,***,5.85,***,***,0.00,***,***
FQUGA1D0903,***,13.75,***,***,***,***,***,13.27,***,***,15.11,***,***,15.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.17,***,***,2.20,***,***,***,***,***,0.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0904,***,15.60,***,***,***,***,***,16.37,***,***,17.95,***,***,***,***,***,***,***,***,10.96,***,***,14.10,***,***,10.74,***,***,***,***,***,***,***,***,6.21,***,***,10.15,***,***,***,***,***,9.37,***,***,***,***,***,***,***,***,***,***,***,9.30,***,***,11.30,***,***,1.93,***,***,***,***,***,***,***,***
FQUGA1D0905,***,20.74,***,***,***,***,***,16.23,***,***,10.46,***,***,23.34,***,***,***,***,***,9.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.36,***,***,10.05,***,***,***,***,***,6.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUGA1D0907,***,23.85,***,***,***,***,***,6.99,***,***,6.99,***,***,12.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
