ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,0.84,0.84,0.00,0.27,***,***,***,***,***,***,***,***,***,0.99,0.15,18.28,1.83,0.99,118.10,0.54,-0.30,-35.78,1.14,0.31,36.48,0.31,-0.53,-62.86,0.69,-0.14,-17.07,***,***,***,0.91,0.08,9.02,***,***,***,***,***,***,***,***,***
FMICO1D0809,1.54,0.92,-0.62,-40.17,***,***,***,***,***,***,***,***,***,0.54,-1.00,-65.06,0.54,-1.00,-64.81,0.85,-0.69,-44.77,0.23,-1.31,-85.04,2.70,1.16,75.28,0.46,-1.08,-69.96,***,***,***,0.92,-0.61,-39.92,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,1.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.99,***,***,2.21,***,***,2.13,***,***,***,***,***,***,***,***,2.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,5.48,***,***,***,***,***,***,***,***,13.99,***,***,***,***,***,9.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,2.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,1.60,***,***,2.81,***,***,***,***,***,***,***,***,3.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,3.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,1.50,***,***,3.02,***,***,***,***,***,***,***,***,1.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,2.28,***,***,***,***,***,***,***,***,***,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,1.02,***,***,1.89,***,***,***,***,***,1.10,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,0.41,***,***,***,***,***,***,***,***,***,***,***,0.31,***,***,0.30,***,***,0.30,***,***,0.69,***,***,0.86,***,***,0.16,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,0.23,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.31,***,***,0.08,***,***,0.79,***,***,0.78,***,***,0.77,***,***,***,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,1.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.79,***,***,2.42,***,***,1.88,***,***,***,***,***,***,***,***,3.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,3.05,***,***,***,***,***,***,***,***,3.95,***,***,***,***,***,2.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,2.51,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,1.45,***,***,0.61,***,***,0.76,***,***,0.46,***,***,0.99,***,***,***,***,***,0.77,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,1.29,***,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,0.38,***,***,0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,0.00,***,***,***,***,***,1.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.63,***,***,***,***,***,***,***,***
FMICO1D0853,***,1.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,1.01,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.55,***,***,3.06,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,0.16,***,***,0.00,***,***
Mean,1.19,1.75,-0.56,-47.06,0.77,0.42,35.37,0.66,0.53,44.75,8.97,-7.79,-655.22,0.55,0.64,53.65,1.73,-0.54,-45.73,1.03,0.15,13.01,1.50,-0.31,-25.92,1.02,0.17,14.04,0.83,0.36,30.39,2.72,-1.53,-129.00,0.85,0.34,28.52,0.96,0.23,19.45,1.61,-0.42,-35.52,0.00,1.19,100.00
