ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,22.43,14.10,-8.33,-37.15,***,***,***,***,***,***,***,***,***,1.80,-20.63,-91.98,0.00,-22.43,-100.00,9.45,-12.99,-57.89,0.00,-22.43,-100.00,0.49,-21.94,-97.81,0.00,-22.43,-100.00,***,***,***,0.00,-22.43,-100.00,***,***,***,***,***,***,***,***,***
FMICO1D0809,0.34,0.30,-0.04,-11.87,***,***,***,***,***,***,***,***,***,1.96,1.62,476.78,2.26,1.92,564.89,0.00,-0.34,-100.00,0.00,-0.34,-100.00,0.30,-0.04,-12.47,0.00,-0.34,-100.00,***,***,***,0.00,-0.34,-100.00,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.09,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,13.90,***,***,***,***,***,***,***,***,11.09,***,***,***,***,***,0.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,31.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.96,***,***,0.00,***,***,4.03,***,***,***,***,***,***,***,***,2.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,42.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,24.58,***,***,4.83,***,***,0.00,***,***,***,***,***,***,***,***,33.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,4.03,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.15,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,3.46,***,***,***,***,***,***,***,***,***,***,***,0.49,***,***,0.59,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,0.30,***,***,***,***,***,***,***,***,***,***,***,0.19,***,***,0.00,***,***,0.00,***,***,0.00,***,***,7.55,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,5.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.12,***,***,0.76,***,***,1.43,***,***,***,***,***,***,***,***,5.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,2.98,***,***,***,***,***,***,***,***,4.37,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,3.78,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.16,***,***,0.18,***,***,0.00,***,***,1.93,***,***,***,***,***,0.88,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,9.40,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
FMICO1D0853,***,74.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.39,***,***,2.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,0.67,***,***,0.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.27,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.97,***,***,1.28,***,***
Mean,11.39,12.92,-1.53,-13.48,1.15,10.24,89.94,0.35,11.03,96.89,7.73,3.65,32.07,0.74,10.65,93.52,4.57,6.82,59.86,1.76,9.63,84.56,0.63,10.76,94.49,1.39,10.00,87.80,0.51,10.87,95.49,10.21,1.17,10.31,0.15,11.24,98.71,0.00,11.39,100.00,1.12,10.27,90.16,1.28,10.11,88.79
