ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,0.57,0.00,-0.57,-100.00,***,***,***,***,***,***,***,***,***,8.92,8.35,1476.29,12.28,11.72,2071.51,16.05,15.49,2737.85,11.94,11.37,2010.39,10.47,9.90,1750.82,0.00,-0.57,-100.00,***,***,***,0.00,-0.57,-100.00,***,***,***,***,***,***,***,***,***
FMICO1D0809,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.50,0.50,***,0.30,0.30,***,3.21,3.21,***,2.86,2.86,***,1.09,1.09,***,***,***,***,0.58,0.58,***,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,1.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,17.89,***,***,18.63,***,***,32.11,***,***,***,***,***,***,***,***,13.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,67.41,***,***,***,***,***,***,***,***,20.16,***,***,***,***,***,51.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,0.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,1.45,***,***,6.87,***,***,***,***,***,***,***,***,8.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,0.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,28.66,***,***,87.70,***,***,***,***,***,***,***,***,38.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,0.31,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,5.86,***,***,1.68,***,***,***,***,***,1.10,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,1.31,***,***,***,***,***,***,***,***,***,***,***,19.97,***,***,0.00,***,***,5.62,***,***,7.58,***,***,7.54,***,***,7.28,***,***,***,***,***,7.37,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,0.00,***,***,***,***,***,***,***,***,***,***,***,8.12,***,***,7.00,***,***,0.00,***,***,8.95,***,***,0.55,***,***,3.74,***,***,***,***,***,8.64,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,1.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,7.92,***,***,19.50,***,***,***,***,***,***,***,***,8.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,6.44,***,***,***,***,***,***,***,***,16.97,***,***,***,***,***,8.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,0.69,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.27,***,***,3.27,***,***,0.61,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,0.00,***,***,3.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,1.38,***,***,1.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,0.23,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
FMICO1D0853,***,2.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.72,***,***,1.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,1.59,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,3.72,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***
Mean,0.28,5.19,-4.91,-1734.91,2.30,-2.02,-714.40,0.00,0.28,100.00,18.56,-18.28,-6463.91,6.17,-5.88,-2080.82,8.31,-8.03,-2839.85,8.00,-7.72,-2730.21,20.13,-19.84,-7016.18,5.09,-4.81,-1700.15,2.40,-2.12,-747.91,17.23,-16.94,-5991.65,2.95,-2.67,-942.96,0.00,0.28,100.00,1.86,-1.58,-558.23,0.00,0.28,100.00
