ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,1.00,0.68,-0.32,-32.00,***,***,***,***,***,***,***,***,***,0.10,-0.90,-90.00,0.04,-0.96,-96.25,0.00,-1.00,-100.00,0.29,-0.71,-70.75,0.23,-0.77,-77.25,0.11,-0.89,-89.00,***,***,***,0.19,-0.81,-80.75,***,***,***,***,***,***,***,***,***
FMICO1D0809,0.65,0.66,0.02,2.71,***,***,***,***,***,***,***,***,***,0.24,-0.40,-62.40,0.18,-0.47,-72.87,0.18,-0.46,-71.71,0.81,0.16,25.19,0.50,-0.14,-22.09,0.29,-0.36,-55.04,***,***,***,0.42,-0.23,-35.66,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,1.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.94,***,***,0.07,***,***,0.72,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,0.87,***,***,***,***,***,***,***,***,2.69,***,***,***,***,***,0.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,2.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,0.28,***,***,1.75,***,***,***,***,***,***,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,2.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,***,***,0.09,***,***,1.12,***,***,***,***,***,***,***,***,0.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,0.54,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.13,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,0.39,***,***,***,***,***,***,***,***,***,***,***,0.07,***,***,0.00,***,***,0.02,***,***,0.21,***,***,0.24,***,***,0.08,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,0.59,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,0.04,***,***,0.03,***,***,0.58,***,***,0.18,***,***,0.50,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,2.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.03,***,***,0.05,***,***,0.38,***,***,***,***,***,***,***,***,1.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,1.60,***,***,***,***,***,***,***,***,2.78,***,***,***,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
