ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,9.98,6.79,-3.19,-32.00,***,***,***,***,***,***,***,***,***,1.00,-8.98,-90.00,0.37,-9.61,-96.25,0.00,-9.98,-100.00,2.92,-7.06,-70.75,2.27,-7.71,-77.25,1.10,-8.88,-89.00,***,***,***,1.92,-8.06,-80.75,***,***,***,***,***,***,***,***,***
FMICO1D0809,6.44,6.61,0.17,2.71,***,***,***,***,***,***,***,***,***,2.42,-4.02,-62.40,1.75,-4.69,-72.87,1.82,-4.62,-71.71,8.06,1.62,25.19,5.02,-1.42,-22.09,2.89,-3.54,-55.04,***,***,***,4.14,-2.30,-35.66,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,17.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.41,***,***,0.72,***,***,7.14,***,***,***,***,***,***,***,***,8.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,8.63,***,***,***,***,***,***,***,***,26.80,***,***,***,***,***,8.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,25.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.49,***,***,2.77,***,***,17.44,***,***,***,***,***,***,***,***,16.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,27.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.47,***,***,0.90,***,***,11.13,***,***,***,***,***,***,***,***,8.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,5.34,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***,0.52,***,***,1.27,***,***,***,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,3.89,***,***,***,***,***,***,***,***,***,***,***,0.70,***,***,0.00,***,***,0.15,***,***,2.12,***,***,2.40,***,***,0.75,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,5.84,***,***,***,***,***,***,***,***,***,***,***,1.22,***,***,0.37,***,***,0.30,***,***,5.79,***,***,1.82,***,***,5.02,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,23.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.28,***,***,0.52,***,***,3.77,***,***,***,***,***,***,***,***,11.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
