ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,0.63,0.82,0.19,30.40,***,***,***,***,***,***,***,***,***,0.22,-0.41,-65.20,0.28,-0.35,-55.20,1.22,0.60,95.20,0.18,-0.44,-70.80,0.70,0.07,11.60,0.69,0.06,10.40,***,***,***,0.62,-0.01,-1.60,***,***,***,***,***,***,***,***,***
FMICO1D0809,0.69,0.97,0.28,40.43,***,***,***,***,***,***,***,***,***,0.34,-0.36,-51.26,0.53,-0.16,-23.47,0.78,0.09,12.27,0.98,0.29,41.16,0.67,-0.03,-3.61,0.55,-0.15,-21.30,***,***,***,0.50,-0.19,-27.80,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,0.66,***,***,0.44,***,***,***,***,***,***,***,***,0.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,0.57,***,***,***,***,***,***,***,***,0.40,***,***,***,***,***,0.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,1.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.22,***,***,0.86,***,***,***,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,1.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,0.13,***,***,0.80,***,***,***,***,***,***,***,***,0.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,1.10,***,***,***,***,***,***,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***,0.47,***,***,***,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,1.28,***,***,***,***,***,***,***,***,***,***,***,0.18,***,***,0.53,***,***,1.14,***,***,0.27,***,***,0.49,***,***,0.41,***,***,***,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,1.64,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,0.28,***,***,0.45,***,***,1.28,***,***,0.92,***,***,1.22,***,***,***,***,***,1.01,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,1.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***,0.58,***,***,0.64,***,***,***,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,0.93,***,***,***,***,***,***,***,***,0.52,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,0.45,***,***,***,***,***,***,***,***,***,***,***,0.36,***,***,0.40,***,***,0.75,***,***,0.76,***,***,0.84,***,***,0.72,***,***,***,***,***,0.49,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,1.09,***,***,0.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,0.92,***,***,1.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,0.87,***,***,***,***,***,0.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.10,***,***,***,***,***,***,***,***
FMICO1D0853,***,1.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,***,***,0.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,1.39,***,***,1.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.45,***,***,1.09,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,0.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.62,***,***,0.66,***,***,0.61,***,***
Mean,0.66,1.11,-0.45,-68.32,0.97,-0.31,-46.74,0.89,-0.23,-35.49,0.46,0.20,30.36,0.26,0.40,60.09,0.34,0.32,48.70,0.62,0.04,5.88,0.69,-0.03,-4.49,0.67,-0.01,-1.45,0.67,-0.02,-2.40,0.80,-0.14,-21.16,0.62,0.04,5.63,1.05,-0.40,-60.03,0.87,-0.21,-32.26,0.61,0.05,7.78
