ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,3.12,4.07,0.95,30.40,***,***,***,***,***,***,***,***,***,1.09,-2.03,-65.20,1.40,-1.72,-55.20,6.09,2.97,95.20,0.91,-2.21,-70.80,3.48,0.36,11.60,3.44,0.32,10.40,***,***,***,3.07,-0.05,-1.60,***,***,***,***,***,***,***,***,***
FMICO1D0809,3.46,4.85,1.40,40.43,***,***,***,***,***,***,***,***,***,1.68,-1.77,-51.26,2.65,-0.81,-23.47,3.88,0.42,12.27,4.88,1.42,41.16,3.33,-0.12,-3.61,2.72,-0.74,-21.30,***,***,***,2.50,-0.96,-27.80,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,5.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,3.31,***,***,2.17,***,***,***,***,***,***,***,***,4.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,2.83,***,***,***,***,***,***,***,***,2.01,***,***,***,***,***,2.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,8.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.64,***,***,1.09,***,***,4.28,***,***,***,***,***,***,***,***,3.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,5.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.57,***,***,0.66,***,***,3.99,***,***,***,***,***,***,***,***,4.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,5.47,***,***,***,***,***,***,***,***,***,***,***,1.61,***,***,***,***,***,***,***,***,***,***,***,2.01,***,***,2.36,***,***,***,***,***,3.04,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,6.39,***,***,***,***,***,***,***,***,***,***,***,0.91,***,***,2.66,***,***,5.69,***,***,1.32,***,***,2.45,***,***,2.02,***,***,***,***,***,2.55,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,8.17,***,***,***,***,***,***,***,***,***,***,***,0.79,***,***,1.40,***,***,2.25,***,***,6.38,***,***,4.57,***,***,6.09,***,***,***,***,***,5.02,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,6.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,2.89,***,***,3.21,***,***,***,***,***,***,***,***,3.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,4.65,***,***,***,***,***,***,***,***,2.57,***,***,***,***,***,3.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,2.26,***,***,***,***,***,***,***,***,***,***,***,1.80,***,***,2.00,***,***,3.72,***,***,3.78,***,***,4.18,***,***,3.57,***,***,***,***,***,2.45,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,5.43,***,***,2.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,4.57,***,***,5.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,4.34,***,***,***,***,***,3.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.48,***,***,***,***,***,***,***,***
FMICO1D0853,***,9.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.37,***,***,1.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,6.95,***,***,5.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.21,***,***,5.43,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,4.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.09,***,***,3.27,***,***,3.03,***,***
Mean,3.29,5.53,-2.25,-68.32,4.82,-1.54,-46.74,4.45,-1.17,-35.49,2.29,1.00,30.36,1.31,1.98,60.09,1.69,1.60,48.70,3.09,0.19,5.88,3.44,-0.15,-4.49,3.34,-0.05,-1.45,3.37,-0.08,-2.40,3.98,-0.70,-21.16,3.10,0.19,5.63,5.26,-1.97,-60.03,4.35,-1.06,-32.26,3.03,0.26,7.78
