ProjectUnit = FMICO1D08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,00YR10-Attr,00YR10-Diff,00YR10-%Diff,00YR20-Attr,00YR20-Diff,00YR20-%Diff,00YR21-Attr,00YR21-Diff,00YR21-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,02YR06-Attr,02YR06-Diff,02YR06-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,00YR25-Attr,00YR25-Diff,00YR25-%Diff,UNKNOWN 01-Attr,UNKNOWN 01-Diff,UNKNOWN 01-%Diff,UNKNOWN 02-Attr,UNKNOWN 02-Diff,UNKNOWN 02-%Diff
FMICO1D0808,41.32,27.16,-14.16,-34.27,***,***,***,***,***,***,***,***,***,14.11,-27.21,-65.85,16.89,-24.43,-59.13,33.40,-7.92,-19.17,19.26,-22.06,-53.39,18.59,-22.72,-55.00,6.85,-34.47,-83.42,***,***,***,7.50,-33.82,-81.85,***,***,***,***,***,***,***,***,***
FMICO1D0809,12.48,13.93,1.45,11.63,***,***,***,***,***,***,***,***,***,7.25,-5.23,-41.92,7.78,-4.70,-37.67,8.51,-3.97,-31.82,17.19,4.71,37.73,15.58,3.10,24.84,7.32,-5.16,-41.35,***,***,***,8.96,-3.52,-28.20,***,***,***,***,***,***,***,***,***
FMICO1D0801,***,27.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,41.33,***,***,28.96,***,***,46.35,***,***,***,***,***,***,***,***,32.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0803,***,101.00,***,***,***,***,***,***,***,***,89.17,***,***,***,***,***,78.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0804,***,71.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.23,***,***,12.48,***,***,39.28,***,***,***,***,***,***,***,***,42.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0805,***,84.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,30.62,***,***,38.81,***,***,110.02,***,***,***,***,***,***,***,***,88.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0806,***,21.66,***,***,***,***,***,***,***,***,***,***,***,2.72,***,***,***,***,***,***,***,***,***,***,***,10.42,***,***,9.14,***,***,***,***,***,8.16,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0807,***,16.76,***,***,***,***,***,***,***,***,***,***,***,22.39,***,***,3.58,***,***,12.39,***,***,12.04,***,***,14.57,***,***,10.23,***,***,***,***,***,10.75,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0812,***,15.15,***,***,***,***,***,***,***,***,***,***,***,10.32,***,***,9.09,***,***,2.63,***,***,23.54,***,***,16.26,***,***,16.59,***,***,***,***,***,15.26,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0820,***,41.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,23.32,***,***,18.92,***,***,32.25,***,***,***,***,***,***,***,***,38.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0822,***,62.07,***,***,***,***,***,***,***,***,56.99,***,***,***,***,***,24.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0844,***,25.34,***,***,***,***,***,***,***,***,***,***,***,5.05,***,***,5.04,***,***,8.51,***,***,17.48,***,***,12.08,***,***,13.92,***,***,***,***,***,7.22,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0850,***,13.84,***,***,9.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0851,***,23.25,***,***,21.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0852,***,6.93,***,***,***,***,***,15.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.67,***,***,***,***,***,***,***,***
FMICO1D0853,***,108.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.44,***,***,6.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMICO1D0810,***,***,***,***,24.69,***,***,22.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,21.30,***,***,25.34,***,***,***,***,***
FMICO1D0811,***,***,***,***,***,***,***,8.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.82,***,***,7.79,***,***,7.28,***,***
Mean,26.90,41.27,-14.37,-53.44,18.52,8.37,31.13,15.49,11.41,42.40,73.08,-46.18,-171.69,10.31,16.59,61.68,21.70,5.20,19.34,17.14,9.76,36.27,35.27,-8.37,-31.11,14.58,12.31,45.78,10.67,16.22,60.31,50.58,-23.68,-88.04,9.64,17.26,64.15,14.60,12.30,45.72,16.57,10.33,38.41,7.28,19.61,72.92
