ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,1.54,0.18,-1.36,-88.20,0.00,-1.54,-100.00,***,***,***,0.00,-1.54,-100.00,***,***,***,0.00,-1.54,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.54,-100.00,2.51,0.96,62.41,1.99,0.44,28.76
FQUKE1D0903,***,5.69,***,***,1.06,***,***,***,***,***,1.75,***,***,***,***,***,1.09,***,***,***,***,***,1.57,***,***,***,***,***,1.89,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,0.70,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,13.07,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,0.87,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,3.06,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,1.25,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,1.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,1.70,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,6.77,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,0.99,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.13,***,***,***,***,***,4.72,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,0.00,***,***,0.00,***,***,***,***,***,0.75,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,2.99,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.54,1.34,0.20,13.10,0.13,1.41,91.39,0.00,1.54,100.00,0.31,1.23,79.78,0.00,1.54,100.00,0.18,1.37,88.65,0.00,1.54,100.00,0.34,1.20,77.99,1.13,0.42,27.00,5.90,-4.36,-282.14,0.00,1.54,100.00,2.51,-0.96,-62.41,1.99,-0.44,-28.76
