ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,0.24,0.24,0.00,1.03,0.00,-0.24,-100.00,***,***,***,0.14,-0.10,-43.16,***,***,***,0.81,0.57,236.22,***,***,***,***,***,***,***,***,***,***,***,***,14.82,14.58,6061.70,14.17,13.93,5790.75,14.07,13.83,5748.45
FQUKE1D0903,***,1.27,***,***,0.87,***,***,***,***,***,0.96,***,***,***,***,***,2.75,***,***,***,***,***,4.26,***,***,***,***,***,2.35,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,3.28,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,7.42,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,0.30,***,***,0.00,***,***,***,***,***,21.51,***,***,***,***,***,21.51,***,***,***,***,***,33.57,***,***,***,***,***,8.24,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,0.25,***,***,***,***,***,4.87,***,***,***,***,***,3.80,***,***,***,***,***,3.99,***,***,***,***,***,5.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,0.79,***,***,0.00,***,***,***,***,***,0.95,***,***,***,***,***,0.17,***,***,***,***,***,0.00,***,***,***,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,2.27,***,***,0.42,***,***,***,***,***,0.60,***,***,***,***,***,1.44,***,***,***,***,***,13.95,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,0.53,***,***,1.60,***,***,***,***,***,0.97,***,***,***,***,***,2.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,3.91,***,***,2.20,***,***,***,***,***,2.10,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,22.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,8.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.24,3.96,-3.72,-1545.28,0.64,-0.40,-164.62,4.87,-4.63,-1924.99,3.40,-3.16,-1314.83,3.80,-3.56,-1480.46,3.62,-3.38,-1403.74,3.99,-3.75,-1558.15,11.84,-11.60,-4821.89,5.67,-5.43,-2257.91,2.20,-1.96,-814.18,14.82,-14.58,-6061.70,14.17,-13.93,-5790.75,14.07,-13.83,-5748.45
