ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,0.65,0.64,-0.01,-1.92,0.17,-0.49,-74.44,***,***,***,0.08,-0.58,-88.51,***,***,***,0.17,-0.48,-73.56,***,***,***,***,***,***,***,***,***,***,***,***,0.27,-0.39,-59.39,0.45,-0.20,-30.65,0.59,-0.06,-9.20
FQUKE1D0903,***,0.33,***,***,0.00,***,***,***,***,***,0.03,***,***,***,***,***,0.05,***,***,***,***,***,0.46,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,0.90,***,***,0.16,***,***,***,***,***,0.34,***,***,***,***,***,0.28,***,***,***,***,***,0.56,***,***,***,***,***,0.28,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,0.57,***,***,0.00,***,***,***,***,***,0.02,***,***,***,***,***,0.01,***,***,***,***,***,0.17,***,***,***,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,1.67,***,***,***,***,***,1.16,***,***,***,***,***,1.21,***,***,***,***,***,1.58,***,***,***,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,0.17,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.10,***,***,***,***,***,0.26,***,***,***,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,0.36,***,***,0.00,***,***,***,***,***,0.13,***,***,***,***,***,0.07,***,***,***,***,***,0.41,***,***,***,***,***,0.25,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,0.97,***,***,0.02,***,***,***,***,***,0.04,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,0.40,***,***,0.03,***,***,***,***,***,0.00,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,0.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.65,0.60,0.05,7.47,0.05,0.61,92.88,1.16,-0.50,-77.01,0.08,0.57,88.03,1.21,-0.55,-84.67,0.10,0.55,84.34,1.58,-0.93,-142.53,0.37,0.28,43.22,0.65,0.00,0.00,0.19,0.46,70.80,0.27,0.39,59.39,0.45,0.20,30.65,0.59,0.06,9.20
