ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,6.51,6.39,-0.12,-1.92,1.66,-4.85,-74.44,***,***,***,0.75,-5.76,-88.51,***,***,***,1.72,-4.79,-73.56,***,***,***,***,***,***,***,***,***,***,***,***,2.65,-3.87,-59.39,4.52,-2.00,-30.65,5.91,-0.60,-9.20
FQUKE1D0903,***,3.27,***,***,0.00,***,***,***,***,***,0.25,***,***,***,***,***,0.52,***,***,***,***,***,4.57,***,***,***,***,***,1.02,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,8.93,***,***,1.62,***,***,***,***,***,3.39,***,***,***,***,***,2.75,***,***,***,***,***,5.59,***,***,***,***,***,2.75,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,5.69,***,***,0.00,***,***,***,***,***,0.20,***,***,***,***,***,0.10,***,***,***,***,***,1.65,***,***,***,***,***,1.37,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,16.67,***,***,***,***,***,11.53,***,***,***,***,***,12.03,***,***,***,***,***,15.80,***,***,***,***,***,6.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,1.70,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,1.00,***,***,***,***,***,2.57,***,***,***,***,***,1.87,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,3.59,***,***,0.00,***,***,***,***,***,1.27,***,***,***,***,***,0.72,***,***,***,***,***,4.12,***,***,***,***,***,2.50,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,9.67,***,***,0.15,***,***,***,***,***,0.35,***,***,***,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,3.94,***,***,0.27,***,***,***,***,***,0.02,***,***,***,***,***,0.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,3.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,2.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,6.51,6.03,0.49,7.47,0.46,6.05,92.88,11.53,-5.02,-77.01,0.78,5.73,88.03,12.03,-5.52,-84.67,1.02,5.49,84.34,15.80,-9.28,-142.53,3.70,2.82,43.22,6.51,0.00,0.00,1.90,4.61,70.80,2.65,3.87,59.39,4.52,2.00,30.65,5.91,0.60,9.20
