ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,1.27,2.13,0.86,67.39,0.94,-0.33,-26.03,***,***,***,0.76,-0.51,-40.28,***,***,***,0.86,-0.42,-32.81,***,***,***,***,***,***,***,***,***,***,***,***,0.41,-0.86,-67.58,1.32,0.04,3.34,1.63,0.36,27.90
FQUKE1D0903,***,1.66,***,***,0.10,***,***,***,***,***,0.28,***,***,***,***,***,0.29,***,***,***,***,***,0.32,***,***,***,***,***,1.05,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,2.15,***,***,0.53,***,***,***,***,***,0.89,***,***,***,***,***,0.84,***,***,***,***,***,1.28,***,***,***,***,***,1.31,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,2.12,***,***,0.33,***,***,***,***,***,0.59,***,***,***,***,***,0.27,***,***,***,***,***,0.74,***,***,***,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,2.36,***,***,***,***,***,2.25,***,***,***,***,***,1.55,***,***,***,***,***,1.55,***,***,***,***,***,1.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,2.30,***,***,0.11,***,***,***,***,***,0.49,***,***,***,***,***,0.79,***,***,***,***,***,0.78,***,***,***,***,***,1.43,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,1.63,***,***,0.38,***,***,***,***,***,0.25,***,***,***,***,***,0.46,***,***,***,***,***,0.54,***,***,***,***,***,0.82,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,1.89,***,***,0.18,***,***,***,***,***,0.43,***,***,***,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,1.66,***,***,0.07,***,***,***,***,***,0.48,***,***,***,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,1.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,1.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.27,1.88,-0.61,-47.61,0.33,0.94,74.10,2.25,-0.98,-77.01,0.52,0.75,59.14,1.55,-0.27,-21.41,0.59,0.68,53.57,1.55,-0.28,-22.00,0.73,0.54,42.32,1.80,-0.53,-41.45,1.09,0.18,14.38,0.41,0.86,67.58,1.32,-0.04,-3.34,1.63,-0.36,-27.90
