ProjectUnit = FQUKE1D09
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,00PR01-Attr,00PRE-Attr,00PRE-Diff,00PRE-%Diff,01POST-Attr,01POST-Diff,01POST-%Diff,00YR01-Attr,00YR01-Diff,00YR01-%Diff,01YR01-Attr,01YR01-Diff,01YR01-%Diff,00YR02-Attr,00YR02-Diff,00YR02-%Diff,01YR02-Attr,01YR02-Diff,01YR02-%Diff,00YR05-Attr,00YR05-Diff,00YR05-%Diff,01YR05-Attr,01YR05-Diff,01YR05-%Diff,00YR15-Attr,00YR15-Diff,00YR15-%Diff,01YR15-Attr,01YR15-Diff,01YR15-%Diff,02YR02-Attr,02YR02-Diff,02YR02-%Diff,02YR05-Attr,02YR05-Diff,02YR05-%Diff,02YR10-Attr,02YR10-Diff,02YR10-%Diff
FQUKE1D0912,6.35,10.63,4.28,67.39,4.70,-1.65,-26.03,***,***,***,3.79,-2.56,-40.28,***,***,***,4.27,-2.08,-32.81,***,***,***,***,***,***,***,***,***,***,***,***,2.06,-4.29,-67.58,6.56,0.21,3.34,8.12,1.77,27.90
FQUKE1D0903,***,8.30,***,***,0.51,***,***,***,***,***,1.39,***,***,***,***,***,1.45,***,***,***,***,***,1.60,***,***,***,***,***,5.24,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0906,***,10.74,***,***,2.62,***,***,***,***,***,4.45,***,***,***,***,***,4.18,***,***,***,***,***,6.40,***,***,***,***,***,6.51,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0907,***,10.59,***,***,1.62,***,***,***,***,***,2.96,***,***,***,***,***,1.36,***,***,***,***,***,3.71,***,***,***,***,***,4.23,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0908,***,11.78,***,***,***,***,***,11.24,***,***,***,***,***,7.71,***,***,***,***,***,7.75,***,***,***,***,***,8.98,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0909,***,11.49,***,***,0.56,***,***,***,***,***,2.45,***,***,***,***,***,3.92,***,***,***,***,***,3.91,***,***,***,***,***,7.14,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0910,***,8.14,***,***,1.90,***,***,***,***,***,1.24,***,***,***,***,***,2.30,***,***,***,***,***,2.71,***,***,***,***,***,4.07,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0914,***,9.45,***,***,0.91,***,***,***,***,***,2.12,***,***,***,***,***,4.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0915,***,8.26,***,***,0.34,***,***,***,***,***,2.37,***,***,***,***,***,1.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0916,***,6.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FQUKE1D0917,***,7.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,6.35,9.38,-3.02,-47.61,1.64,4.71,74.10,11.24,-4.89,-77.01,2.60,3.76,59.14,7.71,-1.36,-21.41,2.95,3.40,53.57,7.75,-1.40,-22.00,3.66,2.69,42.32,8.98,-2.63,-41.45,5.44,0.91,14.38,2.06,4.29,67.58,6.56,-0.21,-3.34,8.12,-1.77,-27.90
