ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,1.21,1.21,***,***,***,***,4.54,4.54,***,***,***,***,1.51,1.51,***
FABCO1T1091,0.00,0.00,0.00,0.00,2.12,2.12,***,2.42,2.42,***,0.91,0.91,***,***,***,***
FABMA1T1099,0.00,3.63,3.63,***,3.03,3.03,***,3.33,3.33,***,***,***,***,***,***,***
FPIPO1T1093,0.00,1.21,1.21,***,1.82,1.82,***,0.30,0.30,***,***,***,***,0.61,0.61,***
FPIPO1T1094,***,0.30,***,***,***,***,***,2.43,***,***,***,***,***,0.00,***,***
FPIPO1T1096,0.00,0.00,0.00,0.00,0.31,0.31,***,4.10,4.10,***,***,***,***,0.00,0.00,0.00
FABCO1T1092,***,0.30,***,***,2.73,***,***,8.52,***,***,***,***,***,0.00,***,***
FABMA1T1097,***,1.21,***,***,0.61,***,***,1.51,***,***,***,***,***,***,***,***
FABMA1T1098,***,1.82,***,***,2.72,***,***,3.03,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.00,***,***,6.96,***,***,1.51,***,***,***,***,***,1.21,***,***
Mean,0.00,0.97,-0.97,-Infinity,2.54,-2.54,-Infinity,3.17,-3.17,-Infinity,0.91,-0.91,-Infinity,0.55,-0.55,-Infinity
