ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,0.00,0.00,0.00,***,***,***,11.90,11.90,***,***,***,***,14.84,14.84,***
FABCO1T1091,8.17,13.29,5.12,62.61,23.49,15.31,187.32,42.71,34.53,422.40,7.61,-0.56,-6.88,***,***,***
FABMA1T1099,5.03,13.99,8.96,178.13,2.95,-2.08,-41.32,24.94,19.91,395.83,***,***,***,***,***,***
FPIPO1T1093,0.00,4.38,4.38,***,35.69,35.69,***,49.73,49.73,***,***,***,***,9.34,9.34,***
FPIPO1T1094,0.00,0.00,0.00,0.00,***,***,***,11.03,11.03,***,***,***,***,0.00,0.00,0.00
FPIPO1T1096,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.47,5.47,***,***,***,***,16.51,16.51,***
FABCO1T1092,***,0.00,***,***,0.21,***,***,14.81,***,***,***,***,***,15.63,***,***
FABMA1T1097,***,***,***,***,0.25,***,***,4.54,***,***,***,***,***,***,***,***
FABMA1T1098,***,***,***,***,7.34,***,***,24.18,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.00,***,***,0.00,***,***,24.68,***,***,***,***,***,10.27,***,***
Mean,2.20,3.96,-1.76,-79.84,8.74,-6.54,-297.19,21.40,-19.20,-872.22,7.61,-5.41,-245.88,11.10,-8.90,-404.32
