ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,0.01,0.01,***,***,***,***,0.84,0.84,***,***,***,***,0.05,0.05,***
FABCO1T1091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.92,***,0.08,0.08,***,***,***,***
FABMA1T1099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,***,***,***,***,***,***,***
FPIPO1T1093,0.00,***,***,***,0.00,0.00,0.00,0.47,0.47,***,***,***,***,0.09,0.09,***
FPIPO1T1094,***,***,***,***,***,***,***,0.79,***,***,***,***,***,0.00,***,***
FPIPO1T1096,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,***,***,***,***,0.03,0.03,***
FABCO1T1092,***,***,***,***,0.00,***,***,0.69,***,***,***,***,***,0.04,***,***
FABMA1T1097,***,0.00,***,***,0.58,***,***,0.48,***,***,***,***,***,***,***,***
FABMA1T1098,***,0.00,***,***,0.00,***,***,0.16,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.03,***,***,0.00,***,***,0.37,***,***,***,***,***,0.00,***,***
Mean,0.00,0.00,0.00,-Infinity,0.07,-0.07,-Infinity,0.53,-0.53,-Infinity,0.08,-0.08,-Infinity,0.04,-0.04,-Infinity
