ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,0.06,0.06,***,***,***,***,8.41,8.41,***,***,***,***,0.50,0.50,***
FABCO1T1091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,9.21,***,0.80,0.80,***,***,***,***
FABMA1T1099,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,2.35,***,***,***,***,***,***,***
FPIPO1T1093,0.00,***,***,***,0.00,0.00,0.00,4.64,4.64,***,***,***,***,0.87,0.87,***
FPIPO1T1094,***,***,***,***,***,***,***,7.89,***,***,***,***,***,0.02,***,***
FPIPO1T1096,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.19,3.19,***,***,***,***,0.32,0.32,***
FABCO1T1092,***,***,***,***,0.00,***,***,6.91,***,***,***,***,***,0.42,***,***
FABMA1T1097,***,0.00,***,***,5.81,***,***,4.77,***,***,***,***,***,***,***,***
FABMA1T1098,***,0.00,***,***,0.00,***,***,1.55,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.25,***,***,0.00,***,***,3.64,***,***,***,***,***,0.00,***,***
Mean,0.00,0.04,-0.04,-Infinity,0.73,-0.73,-Infinity,5.26,-5.26,-Infinity,0.80,-0.80,-Infinity,0.36,-0.36,-Infinity
