ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,0.48,0.48,***,***,***,***,1.31,1.31,***,***,***,***,0.21,0.21,***
FABCO1T1091,0.00,0.13,0.13,***,0.80,0.80,***,0.73,0.73,***,0.04,0.04,***,***,***,***
FABMA1T1099,0.00,0.27,0.27,***,0.52,0.52,***,0.82,0.82,***,***,***,***,***,***,***
FPIPO1T1093,0.00,***,***,***,0.24,0.24,***,1.02,1.02,***,***,***,***,0.08,0.08,***
FPIPO1T1094,***,***,***,***,***,***,***,1.43,***,***,***,***,***,0.00,***,***
FPIPO1T1096,0.00,0.04,0.04,***,0.72,0.72,***,0.86,0.86,***,***,***,***,0.05,0.05,***
FABCO1T1092,***,***,***,***,1.36,***,***,0.74,***,***,***,***,***,0.11,***,***
FABMA1T1097,***,0.10,***,***,0.52,***,***,0.53,***,***,***,***,***,***,***,***
FABMA1T1098,***,0.18,***,***,0.91,***,***,1.10,***,***,***,***,***,***,***,***
FPIPO1T1095,***,0.22,***,***,3.51,***,***,3.57,***,***,***,***,***,0.00,***,***
Mean,0.00,0.20,-0.20,-Infinity,1.07,-1.07,-Infinity,1.21,-1.21,-Infinity,0.04,-0.04,-Infinity,0.07,-0.07,-Infinity
